标题,位置,房屋类型,面积,单价,总价,介绍,网址
玫瑰园  2房  84平 中等装修 业主诚心出售,玫瑰园住宅楼 经开区,2室2厅,84.26平米,"6,647元/平",56万,南精装中楼层(共6层) ,https://nn.lianjia.com/ershoufang/105115372868.html
户型格局方正，紧凑实用，楼层高层带大露台，采光好,锦兰公馆 经开区,4室2厅,96.26平米,"11,220元/平",108万,南 北其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111802521.html
业主急卖 客厅带阳台、宽阔舒适、户型方正、轻奢享受,昀和·长凯9号 经开区,3室2厅,107平米,"7,477元/平",80万,东南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111654928.html
精装四房 全新未入住 楼层好 视野好 安静 业主急售,青溪府 经开区,4室2厅,120平米,"10,834元/平",130万,南 北其他高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115096977.html
大都郡精装大5房，南北通透户型,大都郡 经开区,5室2厅,137平米,"10,219元/平",140万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115723225.html
壮锦大道冠城世家江南公园地铁口毛坯4房户型方正,西建冠城世家 五一路,4室2厅,122.39平米,"8,539元/平",104.5万,南 北毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117085691.html
白沙大道 精装两房 保养新 给品牌家私家电拎包入住,百益牛顿苹果 经开区,2室2厅,54平米,"10,186元/平",55万,南精装高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105107935632.html
恒大城 3房2厅 户型方正 业主诚心卖,南宁恒大城 经开区,3室1厅,93.41平米,"7,708元/平",72万,南其他低楼层(共41层) ,https://nn.lianjia.com/ershoufang/105114858560.html
双地铁口楼中楼，单价5字头，钥匙在手，随时看房.,碧园南城故事 经开区,4室2厅,150.11平米,"5,330元/平",80万,南简装高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105109298016.html
4号线地铁口，装修保养好，业主诚心出售,南宁恒大城 经开区,3室2厅,90平米,"8,334元/平",75万,南 北精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115532669.html
华润置地·西园悦府 3室2厅 南,华润置地·西园悦府 白沙星光,3室2厅,114平米,"16,667元/平",190万,南其他中楼层(共54层) ,https://nn.lianjia.com/ershoufang/105116238760.html
紫罗兰楼中楼3+1 房满五不唯一采光充足交通便利,龙光普罗旺斯紫罗兰 经开区,4室1厅,78.59平米,"11,707元/平",92万,北其他高楼层(共17层) ,https://nn.lianjia.com/ershoufang/105114358948.html
蓝鲸世界旁，玖誉城，精装三房，业主急卖,龙光玖誉城睿城 经开区,3室2厅,89平米,"10,675元/平",95万,南 北其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116271937.html
五号线地铁口旁小区 电梯高层四房，视野开阔户型方正,碧园·第5季 经开区,4室2厅,138平米,"6,450元/平",89万,南简装高楼层(共24层) ,https://nn.lianjia.com/ershoufang/105112682239.html
江南新小区 昌泰茗城 低楼层4房2卫 毛坯房 单价低,昌泰茗城 经开区,4室2厅,132.67平米,"6,935元/平",92万,南毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116901027.html
业主诚心出售地铁口的房子 户型方正 视野开阔,新希望锦官城 经开区,8室2厅,267.31平米,"8,605元/平",230万,南毛坯低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105105292582.html
普罗旺斯两房  小区环境好  配套设施齐全,龙光普罗旺斯紫罗兰 经开区,2室2厅,60平米,"8,000元/平",48万,南 北精装高楼层(共17层) ,https://nn.lianjia.com/ershoufang/105114796572.html
采光足中高楼层交通便利。龙光品质配置,龙光普罗旺斯香槟 经开区,3室2厅,130.28平米,"7,216元/平",94万,南其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105115969628.html
江南万达商圈 户型方正 双阳台 地铁口2号线,天筑丽城 白沙星光,2室1厅,80平米,"7,625元/平",61万,东南精装低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105115243484.html
昌泰鑫金绿洲精装三房房子户型好看房方便业主诚心出售,昌泰鑫金绿洲 经开区,3室2厅,98平米,"8,572元/平",84万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116260186.html
精装修  电梯18楼   3房   拎包入住,荣和·公园里 沙井,3室2厅,82平米,"8,293元/平",68万,东北其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105114692795.html
单价9000买拎包入住的4房，买房的你进来看看窝,汇东星城 经开区,4室2厅,97平米,"9,176元/平",89万,北其他中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105113624718.html
经开区锦兰公馆  四房房全屋品牌家居,锦兰公馆 经开区,4室2厅,119平米,"8,404元/平",100万,南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112290822.html
出门地铁口！青溪府全新精装五房，交房从未入住，通透,青溪府 经开区,5室2厅,130平米,"10,385元/平",135万,北精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105114426104.html
精装修交付，方正户型，动静分离！,大都郡 经开区,4室1厅,138平米,"9,421元/平",130万,南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115783250.html
此房满五唯一 楼层好 视野开阔采光好， 业主好说话。,昌泰鑫金绿洲 经开区,3室2厅,105平米,"8,381元/平",88万,南 北毛坯高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105116281558.html
新城新希望锦樾府 2室2厅 东南,新城新希望锦樾府 沙井,2室2厅,69平米,"6,522元/平",45万,东南毛坯高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105116143044.html
华润西园悦府  交房就得证 业主诚心出售 中间楼层,华润置地·西园悦府 白沙星光,3室2厅,113平米,"17,700元/平",200万,南其他中楼层(共54层) ,https://nn.lianjia.com/ershoufang/105111023726.html
此房满五唯一，一梯两户，通透户型,南宁奥园洛杉矶组团 经开区,4室2厅,145平米,"5,104元/平",74万,南其他高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105113695745.html
2号线地铁口 电梯一房一厅 总价低 首付低,昀和·长凯9号 经开区,1室1厅,43.53平米,"8,041元/平",35万,北其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110126018.html
单价7870！福满瑞园全吊顶精装大三房，高层朝南视,福满瑞园 经开区,3室2厅,108平米,"7,871元/平",85万,南精装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115089361.html
"通风好，采光佳 , 直接可拎包入住",龙光普罗旺斯薰衣草 经开区,3室2厅,125平米,"7,200元/平",90万,南 北其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105109524613.html
经开区四号线地铁口  恒大品质 大三房,南宁恒大城 经开区,3室2厅,122平米,"8,771元/平",107万,南精装低楼层(共41层) ,https://nn.lianjia.com/ershoufang/105115773529.html
南北通透大五房 全新装修没住过,威宁首府 经开区,5室1厅,144平米,"8,473元/平",122万,南 北精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114994826.html
双地铁口 中层精装两房拎包入住,彰泰新旺角 经开区,2室1厅,61.42平米,"9,769元/平",60万,东精装高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105116364977.html
江南万达，2号线地铁口，江南客运站，朝南，电梯新房,龙光玖誉城锦城 经开区,3室2厅,89平米,"11,574元/平",103万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116481482.html
郁金香3房出售，看房方便，视野开阔，生活便利,龙光普罗旺斯郁金香 经开区,3室2厅,124.73平米,"7,048元/平",87.9万,南 北简装中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115844074.html
玫瑰园  3房 104平 中等装修 业主诚心出售,玫瑰园住宅楼 经开区,3室2厅,104平米,"6,250元/平",65万,北简装高楼层(共7层) ,https://nn.lianjia.com/ershoufang/105111412618.html
龙光普罗旺斯卡地亚庄园 2室2厅 南,龙光普罗旺斯卡地亚庄园 经开区,2室2厅,73平米,"7,672元/平",56万,南其他低楼层(共43层) ,https://nn.lianjia.com/ershoufang/105110702379.html
汇东星世界 毛坯小三房，业主诚心出售，首付15万！,汇东星世界二期 经开区,3室1厅,88.05平米,"7,633元/平",67.2万,南毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112177547.html
地铁口  精装三房  小区环境优美,南宁恒大城 经开区,3室2厅,125平米,"7,040元/平",88万,南 北精装中楼层(共41层) ,https://nn.lianjia.com/ershoufang/105115764544.html
香槟庄园全新精装复式楼，双层使用面积，看房有钥匙,龙光普罗旺斯香槟 经开区,3室2厅,59.37平米,"8,928元/平",53万,南精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114564627.html
符合刚需的小两房，小孩上学方便,龙光普罗旺斯卡地亚庄园 经开区,2室1厅,72平米,"7,639元/平",55万,南 北其他中楼层(共43层) ,https://nn.lianjia.com/ershoufang/105115626385.html
万达华府C区 诚心出售 4房 随时看房 高楼层,万达华府C区 白沙星光,4室2厅,117平米,"11,539元/平",135万,东北毛坯高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116286171.html
中间楼层，毛坯3房，户型方正，业主急售,锦兰公馆 经开区,3室2厅,117平米,"7,693元/平",90万,南 北其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114594930.html
一线江景 业主诚心出售 楼层好 无欠款,红日江景 五一路,3室2厅,125平米,"8,800元/平",110万,东南其他中楼层(共25层) ,https://nn.lianjia.com/ershoufang/105114346173.html
玖誉城  蓝鲸世界商场  社区成熟 环境优美,龙光玖誉城睿城 经开区,4室2厅,108平米,"10,649元/平",115万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114439796.html
南北格局 客厅朝小区人工湖 新装修未入住 产权明晰,融晟公園大地B区 五一路,3室1厅,103.58平米,"7,724元/平",80万,东南精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105113800882.html
柳沙旁 钱隆江南 标准四房 保养好  有露台,云星钱隆江南 白沙星光,4室2厅,121平米,"8,678元/平",105万,南 北其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113673046.html
房子是精装，不是毛坯。看房提前约，基本能看,悦桂绿地新世界 经开区,3室2厅,97.05平米,"4,946元/平",48万,北 南毛坯高楼层(共15层) ,https://nn.lianjia.com/ershoufang/105114233346.html
南宁浮法玻璃公司宿舍 2室1厅 南 北,南宁浮法玻璃公司宿舍 五一路,2室1厅,55.53平米,"5,943元/平",33万,南 北简装高楼层(共5层) ,https://nn.lianjia.com/ershoufang/105115784630.html
此房满五年，产权清晰，业主诚心卖房采光好户型方正。,富宁新兴苑 五一路,4室2厅,133.78平米,"5,681元/平",76万,南简装高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105115589353.html
动静分离户型，精装交付 碧桂园品质 值得信赖！,碧桂园公园壹号 沙井,3室2厅,90平米,"8,112元/平",73万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115758450.html
绿城华府 4室1厅 南 北,绿城华府 五一路,4室1厅,106.23平米,"9,885元/平",105万,南 北其他中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105117304289.html
金康天和时代，交通便利，距离2号线地铁站300米,金康天和时代 白沙星光,2室2厅,90.86平米,"6,494元/平",59万,南精装中楼层(共23层) ,https://nn.lianjia.com/ershoufang/105113853361.html
五一路带车位 保利城四房电梯高层,保利城B区 五一路,4室2厅,118.37平米,"8,449元/平",100万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115375299.html
小区环境好，看房方便，房子单价底,外运·丽汇嘉园北区 经开区,4室1厅,140平米,"5,000元/平",70万,南 北其他低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105115368550.html
江南万达商圈 荣耀江南 精装大两房 业主自己住保养好,荣耀江南 白沙星光,2室2厅,75平米,"11,334元/平",85万,南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115054518.html
房子2022年交房，全新小区，新装修。,龙光江南院子 沙井,4室2厅,106平米,"8,680元/平",92万,南其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115041134.html
公务员小区 中高楼层 精装改善3房2卫 南北双阳台,锦兰公馆 经开区,3室2厅,120.37平米,"8,308元/平",100万,南 北精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105117020073.html
轨道元筑3房2厅 高楼层  小区新  楼下地铁口  地段好,轨道御水元筑 白沙星光,3室2厅,116平米,"9,914元/平",115万,南 北其他中楼层(共35层) ,https://nn.lianjia.com/ershoufang/105115004063.html
锦绣江南北区电梯3房2厅77万,锦绣江南 白沙星光,3室2厅,126.54平米,"5,690元/平",72万,西南简装中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105115250920.html
红本在手，随时过户，采光充足，南北户型光线好,南宁奥园洛杉矶组团 经开区,2室2厅,82平米,"5,488元/平",45万,南其他中楼层(共6层) ,https://nn.lianjia.com/ershoufang/105113490093.html
地铁口 江南万达精装保养好4房 自住 看房方便,万达华府B区 白沙星光,4室1厅,140平米,"12,058元/平",168.8万,南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113553587.html
精装四房 地铁口 银光御品 品质小区,银光御品 经开区,4室1厅,89平米,"10,113元/平",90万,南 北精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117108604.html
锦悦江南 4室2厅 南 北,锦悦江南 五一路,4室2厅,110平米,"10,546元/平",116万,南 北其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112171841.html
恒大帝景精装3房，价格便宜优惠,恒大帝景 经开区,3室2厅,108.55平米,"7,370元/平",80万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112857623.html
双地铁口电梯三房，小区蕞优质的房源，产权清晰,风格雨林 经开区,3室1厅,86平米,"6,163元/平",53万,南简装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105112603521.html
华润江南，现房有证 阳台朝南 看房方便 配套齐全,华润置地江南中心 五一路,3室2厅,89平米,"11,012元/平",98万,南毛坯高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114494947.html
彰泰新旺角原价9500精装 朝南3房 有车位 房龄新地铁口,彰泰新旺角 经开区,3室2厅,85平米,"9,177元/平",78万,南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105114579595.html
有证，带阳台的小户型，带家电家具，高楼层,锦兰公馆 经开区,1室1厅,29平米,"9,311元/平",27万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114563412.html
业主诚意出售，看房方便，价格还可以商议,中房•碧翠园 经开区,3室2厅,85.57平米,"7,889元/平",67.5万,东南 南精装中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105114799641.html
地铁口 刚需小两房 万达商圈 邻里蓝鲸世界,荣宝华商城 白沙星光,2室1厅,52平米,"8,077元/平",42万,南 北简装高楼层(共5层) ,https://nn.lianjia.com/ershoufang/105114646213.html
龙光玖誉城 毛坯三房  满两年 业主诚心出售,龙光玖誉城嘉城 经开区,3室2厅,88.52平米,"9,942元/平",88万,南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116193909.html
公园大地毛坯小洋房 一梯两户电梯房 公园式小区,融晟公園大地B区 五一路,3室2厅,128平米,"6,250元/平",80万,南 北毛坯中楼层(共6层) ,https://nn.lianjia.com/ershoufang/105116341631.html
江南万达精装三房，拎包入住出售,万达华府B区 白沙星光,3室1厅,90平米,"15,000元/平",135万,南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114693279.html
近邕江边，近邕州老街。低楼层带大露台。,金湾花城 白沙星光,3室1厅,104平米,"8,462元/平",88万,北简装低楼层(共6层) ,https://nn.lianjia.com/ershoufang/105115019219.html
高楼层电梯三房  采光通风好  小区出行便利,金康天和时代 白沙星光,3室2厅,104平米,"7,308元/平",76万,南 北简装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114547315.html
地铁口 五一西商圈 五一菜市 次新校区 人车分流,云星钱隆公馆 五一路,4室2厅,118平米,"9,323元/平",110万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114236276.html
江南万达精装电梯三房出售 看房方便,万达华府C区 白沙星光,3室1厅,104平米,"12,981元/平",135万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115302289.html
江南万达商圈 星光大道旁 地铁口 四房,银兴小区 白沙星光,4室2厅,189平米,"5,821元/平",110万,南简装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105103431658.html
东南朝向，户型方正，南北对流 ，毛坯房可以自主装修,红日江景 五一路,3室2厅,88.3平米,"7,702元/平",68万,东南毛坯中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105110182276.html
地铁口，江南万达商圈房源，周.边配套齐全,巨隆大厦 白沙星光,2室1厅,91.14平米,"9,107元/平",83万,南精装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105106754740.html
邕江边 西派澜岸 江景精装4房出售 装修保养好,中国铁建西派澜岸 五一路,4室2厅,108.18平米,"11,093元/平",120万,南精装中楼层(共27层) ,https://nn.lianjia.com/ershoufang/105108085403.html
开发商精装交付 业主诚意售房 建发品质值得信赖,建发玺院 五一路,4室2厅,110平米,"10,000元/平",110万,南 北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112736173.html
天健国企现房 高楼层视野好 证件齐全  随时过户,天健和府 经开区,4室2厅,111.01平米,"12,567元/平",139.5万,南 北其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112490706.html
万达华府B区 精装小三房 出售，有钥匙看房方便,万达华府B区 白沙星光,3室2厅,90平米,"15,000元/平",135万,东南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111918088.html
江景 配套齐全，户型方正，采光视野好，动静分离,保利城B区 五一路,4室2厅,120平米,"8,334元/平",100万,南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113980308.html
吉维尼鲜花小镇 3室2厅 南,吉维尼鲜花小镇 五一路,3室2厅,105平米,"8,000元/平",84万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111010939.html
四号地铁口！锦官城稀有毛坯大八房，三代同堂不显拥挤,新希望锦官城 经开区,8室2厅,227平米,"7,489元/平",170万,北毛坯低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112024801.html
房子户型方正，电梯高层，视野好，精装修。,天筑丽城 白沙星光,4室2厅,133.6平米,"7,486元/平",100万,南 北其他高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105112441307.html
带一个车位，地铁5号线，近海吉星菜市场，江南公园,融晟公園大地B区 五一路,3室2厅,102平米,"7,844元/平",80万,南 北精装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105113732061.html
大三房通透对流户型，江南公园旁,吉维尼鲜花小镇 五一路,3室1厅,105平米,"7,810元/平",82万,南 北精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111744683.html
江南万达  地铁口  4房 业主诚心出售,广西送变电第二生活区 白沙星光,4室2厅,128平米,"6,954元/平",89万,南简装低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105111351773.html
万达商圈，百益上河城旁边，带杂物房一起出售！诚心卖,振宁花园 白沙星光,3室2厅,111.58平米,"7,349元/平",82万,南 北其他高楼层(共8层) ,https://nn.lianjia.com/ershoufang/105113993131.html
