标题,位置,房屋类型,面积,单价,总价,介绍,网址
龙基传媒新城 毛坯大两房 中间楼层 厅出阳台,龙基传媒星城 东沟岭,2室2厅,93平米,"8,065元/平",75万,东南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114239864.html
温莎南郡毛坯3房2厅2卫，坐北朝南户型方正采光通风好,嘉和城温莎南郡 兴宁东,3室2厅,126.28平米,"5,544元/平",70万,南毛坯高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105116142706.html
温莎堡毛坯5房2厅4卫，南北通透双阳台采光好视野好,温莎堡 兴宁东,5室2厅,205平米,"8,049元/平",165万,南 北毛坯高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115148852.html
S府的房价比小县城还低，还有什么可挑的？户型特靓,南宁绿地城 兴宁东,5室1厅,149.3平米,"5,962元/平",89万,南 北毛坯低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116425960.html
南宁恒大华府 3室2厅 南,南宁恒大华府 东沟岭,3室2厅,89平米,"11,236元/平",100万,南精装高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105117118917.html
嘉和城温莎北郡 4室2厅 南 北,嘉和城温莎北郡 兴宁东,4室2厅,88平米,"6,250元/平",55万,南 北其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105116897243.html
天健世纪花园 好房出售 看房方便 高层采光好,天健世纪花园 东沟岭,3室2厅,88.3平米,"11,892元/平",105万,东南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114342683.html
3号线地铁口，精装3房，人车分流，业主诚心出售,红日山湖 东沟岭,3室2厅,68平米,"8,824元/平",60万,南精装高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115267676.html
中海国际一期 4室2厅 东,中海国际一期 东沟岭,4室2厅,87平米,"10,115元/平",88万,东精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115974965.html
皇龍新城精装三房 地铁物业 安家之选,皇龍新城 东沟岭,3室2厅,103平米,"6,991元/平",72万,南其他中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105104424802.html
温莎北郡4房2厅2卫，房屋户型方正南北通透双阳台。,嘉和城温莎北郡 兴宁东,4室2厅,115平米,"7,392元/平",85万,南 北精装中楼层(共21层) ,https://nn.lianjia.com/ershoufang/105114896283.html
毗临人民公园。户型靓，南北朝向，装修，保养好,广西建工集团第一安装公司第三分公司生活区 东沟岭,2室2厅,57平米,"6,141元/平",35万,东南其他中楼层(共6层) ,https://nn.lianjia.com/ershoufang/105113229064.html
金源橙郡 3室2厅 东 南 西 北,金源橙郡 东沟岭,3室2厅,94平米,"10,192元/平",95.8万,东 南 西 北精装高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105116519724.html
狮山公园旁澳华花园精装修靓楼层,澳华花园 东沟岭,2室2厅,87.58平米,"7,080元/平",62万,东南精装中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116499514.html
一品天下 5室2厅 南 北,一品天下 东沟岭,5室2厅,143平米,"9,651元/平",138万,南 北其他中楼层(共46层) ,https://nn.lianjia.com/ershoufang/105115496074.html
嘉和城白鹭南山5房，精装修，格局好，,嘉和城白鹭南山 兴宁东,5室2厅,130.83平米,"7,644元/平",100万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105109498865.html
3房两卫，房型方正，采光好，通风，,招商禧园 凤岭北,3室2厅,95平米,"7,158元/平",68万,南 北其他中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116357009.html
满五唯一，青秀万达商圈，3号线地铁口，业主诚意出售,富丰长堽1号 东沟岭,3室2厅,118平米,"8,306元/平",98万,南 北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114980294.html
红日山湖 满五有证  中间楼层 看房方便,红日山湖 东沟岭,3室2厅,89平米,"8,765元/平",78万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116296389.html
中海九玺，中间楼层，精装修115万，看房方便！,中海九玺 东沟岭,3室2厅,96.88平米,"10,839元/平",105万,东南 南精装中楼层(共46层) ,https://nn.lianjia.com/ershoufang/105114184447.html
嘉和城温莎南郡业主诚意出售 有钥匙可随时看房,嘉和城温莎南郡 兴宁东,3室2厅,130.13平米,"6,532元/平",85万,南其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105110132851.html
荣和山水绿城，三房两厅，中间楼层，看房方便,荣和山水绿城B1组团 北湖南,3室1厅,89平米,"9,663元/平",86万,南其他中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114048433.html
荣和山水绿城4房，全新装修没住过，业主诚心出售,荣和·山水绿城A组团 北湖南,3室2厅,126平米,"11,112元/平",140万,南 北其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115135337.html
兴宁区吾悦广场商圈，精装修，高楼层，诚心出售,大唐印象 兴宁东,3室2厅,97平米,"8,454元/平",82万,南 北其他低楼层(共19层) ,https://nn.lianjia.com/ershoufang/105115060646.html
布洛可三区 4室1厅 南 北,布洛可三区 兴宁东,4室1厅,107平米,"6,543元/平",70万,南 北其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113685850.html
兴宁区吾悦广场~交通便利，环境好。。。,红日山湖 东沟岭,3室2厅,89平米,"8,989元/平",80万,南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114934099.html
民主路天健世纪花园 电梯房 户型方正 人民公园旁,天健世纪花园 东沟岭,4室2厅,136平米,"16,912元/平",230万,南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115876488.html
5号线狮山公园站30米，爱了吗？多得一层阁楼放杂物,瀚林山水源 东沟岭,6室2厅,122平米,"9,837元/平",120万,东南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116957270.html
长堽路次新房嘉印象小区 近地铁口 满五年随时可看房,嘉印象 东沟岭,2室2厅,80平米,"7,500元/平",60万,南毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105105425987.html
大唐印象 5室2厅 南,大唐印象 兴宁东,5室2厅,164平米,"8,196元/平",134.4万,南其他低楼层(共9层) ,https://nn.lianjia.com/ershoufang/105116990573.html
小区房龄新 绿化好，满五年，精装4房 户型方正，,香樟林 东沟岭,3室2厅,78平米,"8,949元/平",69.8万,东南其他低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105115895971.html
大唐印象附带精装全明地下室200平精装，拎包入住,大唐印象 兴宁东,5室2厅,154平米,"13,832元/平",213万,南其他低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105113127316.html
金源悦府 住宅性质 单身公寓小单间,金源悦府 东沟岭,1室0厅,49.2平米,"8,740元/平",43万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114312601.html
业主急需置换！等待有缘人！！！,龙光阳光河畔 东沟岭,4室2厅,118平米,"8,051元/平",95万,南 北毛坯低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105114829305.html
此房楼层好，采光好，通风好，业主诚心卖，,香樟林 东沟岭,5室2厅,166平米,"9,639元/平",160万,东精装低楼层(共17层) ,https://nn.lianjia.com/ershoufang/105108218801.html
盛天东郡  小区绿化高 133平大四房,盛天东郡 兴宁东,4室1厅,133.77平米,"7,850元/平",105万,南 北毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113444339.html
时代茗城 3室2厅 南,时代茗城 东沟岭,3室2厅,99.33平米,"11,075元/平",110万,南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105113683556.html
嘉和城蒙特利岛精装双拼别墅诚心出售 地理位置好,蒙特利岛 兴宁东,3室2厅,171.38平米,"15,113元/平",259万,南 北精装低楼层(共2层) ,https://nn.lianjia.com/ershoufang/105112002075.html
洋房小高层，没有装修，看房方便，价格方面可以谈。,国悦九曲湾 兴宁东,4室2厅,123.52平米,"7,206元/平",89万,南 北毛坯中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105114990910.html
荣和山水绿城，四房两卫，自住房保养好，近公园地铁,荣和·山水绿城B2组团 北湖南,4室2厅,89平米,"9,551元/平",85万,东其他中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105110960717.html
地铁口只有50米，出行上班无忧，30分通达全城,金源橙郡 东沟岭,4室2厅,120平米,"10,250元/平",123万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115088943.html
总价带产权车位，无欠款，大阳台户型,中海九玺 东沟岭,4室2厅,118.19平米,"12,269元/平",145万,南 东南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111720307.html
丈母娘叫你买这套狮山公园旁精装三房就把女儿嫁给你,澳华花园 东沟岭,3室1厅,86平米,"9,303元/平",80万,南 北其他高楼层(共8层) ,https://nn.lianjia.com/ershoufang/105116116730.html
满五唯一，楼下沃尔玛，生活便利，舒适型，二房一卫,时代茗城 东沟岭,2室2厅,77.84平米,"8,351元/平",65万,南简装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105117006480.html
兴桂路地铁口 红日山湖洋房 居住安静,红日山湖 东沟岭,3室2厅,139.48平米,"12,748元/平",177.8万,北毛坯中楼层(共6层) ,https://nn.lianjia.com/ershoufang/105116739559.html
精装三房满五年，园林小区，望州商圈,保利▪山水怡城 东沟岭,3室2厅,89平米,"7,641元/平",68万,东南其他中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105113052389.html
朝南3房2卫，人车分流，业主诚心出售，看房提前联系,南宁恒大华府 东沟岭,3室2厅,117.86平米,"9,079元/平",107万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114436778.html
嘉和城 塞纳北岸 位置好 环境好,嘉和城塞纳北岸 兴宁东,3室1厅,93.8平米,"6,610元/平",62万,南毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115195603.html
瀚林山水源 2室2厅 南 北,瀚林山水源 东沟岭,2室2厅,87.13平米,"9,756元/平",85万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116528243.html
两梯四户的，老城区三房两卫，无欠款,欣隆盛世观邸 东沟岭,3室2厅,106平米,"7,831元/平",83万,东南简装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114269495.html
金源悦府 3室2厅 南 北,金源悦府 东沟岭,3室2厅,101平米,"12,872元/平",130万,南 北精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111937356.html
全新装修未入住，可拎包入住，随时看房,龙基传媒星城 东沟岭,3室2厅,133平米,"6,767元/平",90万,东南简装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105105483368.html
地铁口大五房，金源悦府，业主换大户型诚心出售,金源悦府 东沟岭,5室2厅,135平米,"10,000元/平",135万,北精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110810755.html
长堽路 盛天公馆边套户型 采光视野好 精装2房总价低,盛天公馆 东沟岭,2室1厅,60.74平米,"10,373元/平",63万,南其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115923497.html
满五唯一 带入户花园 三房二卫 楼下地铁口五号线公园,瀚林山水源 东沟岭,3室2厅,88平米,"10,796元/平",95万,南 北毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105108059197.html
5号线地铁口 ，明秀东路，振宁翠峰 精装楼中楼,振寕翠峰 北湖南,3室2厅,130平米,"6,154元/平",80万,南精装高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105109894127.html
电梯大四房，改善型，使用面积大，产权清晰,天健世纪花园 东沟岭,4室2厅,121平米,"16,529元/平",200万,东南简装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113370618.html
国悦九曲湾，2楼带100平米大露台，九曲湾温泉。,国悦九曲湾 兴宁东,3室2厅,87.7平米,"9,693元/平",85万,南其他低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114522815.html
步梯4楼两房，官桥+19，产权清晰,金牛花苑 东沟岭,2室1厅,67平米,"8,060元/平",54万,东南简装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105112850580.html
低密度住宅社区，居住体验感高，户型方正，采光通风好,瀚林山水源 东沟岭,2室1厅,78平米,"7,898元/平",61.6万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105117162959.html
满5年不唯一  电梯好楼层 近青秀万达和地铁三号线,碧桂园星荟 东沟岭,3室2厅,90.5平米,"9,393元/平",85万,东南 南简装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116405307.html
采光也好，楼层好，视野宽阔，采光充足配套完善,欣隆盛世观邸 东沟岭,3室1厅,89.3平米,"9,071元/平",81万,东南其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105112665905.html
光明·时光集 1室1厅 南,光明·时光集 东沟岭,1室1厅,54平米,"10,000元/平",54万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111446351.html
一品天下 4室2厅 南,一品天下 东沟岭,4室2厅,136平米,"7,942元/平",108万,南精装中楼层(共43层) ,https://nn.lianjia.com/ershoufang/105117049213.html
人民公园片区 满五唯一 精装修 户型反正 通风采光好,香樟林 东沟岭,3室2厅,94.33平米,"10,708元/平",101万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105109286601.html
地铁口，盛天地，东郡三期140平看植物园，视野无遮,盛天东郡 兴宁东,4室2厅,140平米,"9,000元/平",126万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117117552.html
金源一品天下  大五房 改大四房 业主诚心出售,一品天下 东沟岭,4室1厅,145平米,"9,656元/平",140万,南 北精装高楼层(共46层) ,https://nn.lianjia.com/ershoufang/105114355153.html
碧桂园时代城精装3房，有证，价格可以美丽,碧桂园·时代城 兴宁东,3室2厅,101.14平米,"6,427元/平",65万,南 北其他低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105109977784.html
嘉和城温莎北郡小区，环境好，地理位置好,嘉和城温莎北郡 兴宁东,4室2厅,95.59平米,"6,487元/平",62万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112910283.html
白鹭中洲小区，环境好，地理位置好。,白鹭中洲 兴宁东,3室2厅,89.26平米,"5,266元/平",47万,南其他中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116363617.html
电梯两房满五不唯一，采光充足，配套齐全，交通便利,盛天公馆 东沟岭,2室1厅,47.47平米,"12,640元/平",60万,东南简装低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105111699976.html
金源城· 金源橘子郡 园林设计 适宜居住,橘子郡 东沟岭,3室1厅,89平米,"7,304元/平",65万,南 北精装低楼层(共6层) ,https://nn.lianjia.com/ershoufang/105116036137.html
金源悦府 3室1厅 南,金源悦府 东沟岭,3室1厅,95.58平米,"9,417元/平",90万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114572086.html
正常首付 厅出阳台 精装三房两卫,瀚林美筑 东沟岭,3室2厅,89平米,"9,304元/平",82.8万,南简装中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105116712719.html
人民公园旁 沃尔玛商圈，精装3房，空间大,天健世纪花园 东沟岭,3室1厅,75平米,"18,000元/平",135万,南 北精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115235629.html
吾悦广场，中海九玺全新未住过，高层4房，看公园,中海九玺 东沟岭,4室2厅,139平米,"10,000元/平",139万,东精装高楼层(共46层) ,https://nn.lianjia.com/ershoufang/105112062761.html
一层得两层，带阁楼的 ，产权清晰,中海雍翠峰 东沟岭,3室2厅,70.61平米,"9,914元/平",70万,南简装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113836336.html
盛天东郡 3室1厅 南 北,盛天东郡 兴宁东,3室1厅,129平米,"7,597元/平",98万,南 北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117205638.html
嘉和城塞纳左岸  精装修房子保养好  没怎么住看房方便,嘉和城塞纳左岸 兴宁东,5室2厅,178平米,"7,585元/平",135万,南其他高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105114629672.html
国悦九曲湾，环境好，地理位置好。,国悦九曲湾 兴宁东,3室1厅,88.99平米,"5,170元/平",46万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115099647.html
天健世纪花园电梯两房 证件齐全 使用面积大 诚心出售,天健世纪花园 东沟岭,2室1厅,46.82平米,"14,524元/平",68万,东南其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114682272.html
华夏院子 4室2厅 南 北,华夏院子 兴宁东,4室2厅,112.41平米,"5,872元/平",66万,南 北毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105113401037.html
嘉和城温莎北郡D区 精装4房  户型好 诚心出售,嘉和城温莎北郡 兴宁东,4室2厅,127.15平米,"6,135元/平",78万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116290946.html
大唐印象  小洋房小区中间位置 5楼 精装4房 看房方便,大唐印象 兴宁东,4室2厅,138.16平米,"8,501元/平",117.44万,南 北精装中楼层(共9层) ,https://nn.lianjia.com/ershoufang/105117225015.html
金源一品江山4房2厅2卫 双阳台,金源一品江山 东沟岭,4室2厅,112平米,"11,429元/平",128万,南其他中楼层(共49层) ,https://nn.lianjia.com/ershoufang/105115570583.html
兴宁区政府旁 精装三房 可拎包入住,龙基传媒星城 东沟岭,3室1厅,86平米,"7,791元/平",67万,东南简装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116519654.html
嘉和城温莎北郡小区，环境好，地理位置好,嘉和城温莎北郡 兴宁东,5室2厅,118平米,"8,899元/平",105万,南 北其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105108306559.html
荣和大4房  保养好采光好  拎包入住,荣和·山水绿城A组团 北湖南,4室2厅,88.19平米,"9,072元/平",80万,南 北精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113405651.html
布洛可五区 4室2厅 南,布洛可五区 兴宁东,4室2厅,93平米,"5,678元/平",52.8万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114532046.html
嘉和城白鹭郡  精装4房 户型方正 诚心出售,嘉和城白鹭前湖 兴宁东,4室2厅,98平米,"6,837元/平",67万,南 北其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105117139089.html
嘉和城布洛可小区，环境好，地理位置好。,布洛可三区 兴宁东,4室1厅,93平米,"7,527元/平",70万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115411986.html
国悦九曲湾碧湖园，环境好，地理位置好。,国悦九曲湾 兴宁东,5室2厅,140平米,"5,358元/平",75万,东南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116216296.html
