标题,位置,房屋类型,面积,单价,总价,介绍,网址
有露台，五象湖商圈，精装修交付，地理位置优越,旭辉湖山樾 五象湖,3室2厅,105.71平米,"14,909元/平",157.6万,东南精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105113777708.html
锦绣麟城宽敞楼距出行方便方正通透,锦绣麟城 五象湖,4室2厅,128.14平米,"9,990元/平",128万,南 北毛坯中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115313986.html
看房方便，毛坯自由装修。业主诚心卖,宝能五象湖一号 五象湖,3室1厅,84平米,"16,072元/平",135万,南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105111796428.html
户型很好，地铁二，三号线，五象湖公园，主干道出行,合景天汇广场 五象湖,3室2厅,89平米,"12,360元/平",110万,南精装高楼层(共49层) ,https://nn.lianjia.com/ershoufang/105113248003.html
五象南万科金域国际精装3房业主诚心出售,万科金域国际 五象湖,3室2厅,96平米,"14,480元/平",139万,东南精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105112790096.html
旭辉湖山樾 精装三房 104平,旭辉湖山樾 五象湖,3室2厅,104平米,"15,193元/平",158万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114003108.html
光明城市 4室2厅 南,光明城市 五象湖,4室2厅,117.89平米,"11,452元/平",135万,南其他高楼层(共39层) ,https://nn.lianjia.com/ershoufang/105116005735.html
两个阳台，视野开阔，得房率高，一级物业 ，宜居社区,檀府印象檀熙 五象湖,4室2厅,127.79平米,"10,173元/平",130万,南 北精装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105111668058.html
五象新区 精装修三房 万科金域国际 业主诚心出售,万科金域国际 五象湖,3室2厅,90平米,"10,500元/平",94.5万,南 北其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116260353.html
建工城125平四房毛坯出售，有证了,建工城 五象湖,4室2厅,126平米,"9,921元/平",125万,南 北毛坯高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114602136.html
五象南大盘好楼层，户型方正，价格实惠可谈。,建工城 五象湖,4室2厅,135平米,"8,519元/平",115万,南毛坯高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105114559926.html
房子空置，看房方便，双地铁口看房方便,宝能五象湖一号 五象湖,3室1厅,84平米,"16,667元/平",140万,东南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115906721.html
融创九棠府！141平精装四房 全新,融创九棠府二期 五象湖,4室2厅,141平米,"12,412元/平",175万,南其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105106198899.html
此房满二有证，楼层好，采光好，业主诚心出售,彰泰郡 五象湖,3室2厅,84平米,"13,096元/平",110万,南其他低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112544461.html
五象双露台，3+1房精装修，采光好,荣和·五象学府 五象湖,3室2厅,98平米,"11,225元/平",110万,南精装低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105113520072.html
五象新区  毛坯三房   楼层好,阳光城大唐世家 五象湖,2室2厅,71平米,"8,592元/平",61万,南毛坯高楼层(共40层) ,https://nn.lianjia.com/ershoufang/105112357106.html
建工城 4室2厅 南,建工城 五象湖,4室2厅,97平米,"8,557元/平",83万,南其他高楼层(共36层) ,https://nn.lianjia.com/ershoufang/105114870612.html
五象南 龙光玖珑郡 精装三房 业主诚心出售,龙光玖珑郡 五象湖,3室2厅,90平米,"8,889元/平",80万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116104459.html
业主诚心卖！！！看合适接刀！！,建工城 五象湖,3室2厅,106平米,"5,661元/平",60万,南毛坯低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115297171.html
五象新区，精装修未入住三房，看房方便，诚心出售,万科金域国际 五象湖,3室2厅,96平米,"9,532元/平",91.5万,南 北精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114200092.html
五象湖边此房子是五象湖边高档房小区，高楼层，视野好,光明城市梦溪苑 五象湖,4室1厅,119平米,"11,765元/平",140万,南其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115147189.html
2号线3号线双地铁口华润24城精装2房诚心出售,华润二十四城 五象湖,2室1厅,69平米,"14,348元/平",99万,东南精装高楼层(共53层) ,https://nn.lianjia.com/ershoufang/105115693986.html
户型方正  价格实惠  买房有个 车 位,建工城 五象湖,3室2厅,125.24平米,"7,107元/平",89万,东南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114815140.html
锦绣麟城 4室2厅 东南,锦绣麟城 五象湖,4室2厅,125平米,"9,600元/平",120万,东南毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116439295.html
欢乐之家优越小区，入住欢乐之家全家欢乐幸福。,欢乐之家 五象湖,4室1厅,115平米,"8,696元/平",100万,南毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114716699.html
五象湖天系住宅 五象湖公园 14中旁边地铁2号3号 商圈,龙光天瀛 五象湖,3室2厅,98平米,"19,388元/平",190万,东南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115702741.html
3号地铁 荣和物业 精装3房未入住 密码钥匙看房,荣和·五象学府 五象湖,4室2厅,98.56平米,"11,973元/平",118万,南精装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115100824.html
万科魅力之城    万科物业   看房随时约  叁中,万科魅力之城 五象湖,4室2厅,89平米,"16,293元/平",145万,东南其他低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105114767281.html
万象汇，二三号线双地铁口！户型方正,华润二十四城 五象湖,5室1厅,166.86平米,"16,661元/平",278万,南 北其他中楼层(共47层) ,https://nn.lianjia.com/ershoufang/105114960351.html
五象新区，五象湖公园旁，双地铁二三号线,合景天汇广场 五象湖,2室1厅,69.08平米,"14,476元/平",100万,北其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114485570.html
五象湖成熟区+锦绣麟城+业主诚心出售,锦绣麟城 五象湖,4室1厅,126平米,"11,112元/平",140万,南毛坯高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105114718424.html
开发商精装交付，南北通户型，中式园林,融创九棠府二期 五象湖,4室2厅,142平米,"10,564元/平",150万,南 北精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114108794.html
五象新区 双地铁口，随时可以看房，有入户花园,华润二十四城 五象湖,4室2厅,126平米,"18,016元/平",227万,南其他高楼层(共53层) ,https://nn.lianjia.com/ershoufang/105114827569.html
五象湖龙光天瀛3房业主诚心出售,龙光天瀛 五象湖,3室2厅,95平米,"20,000元/平",190万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114731988.html
华润二十四城 3室2厅 南,华润二十四城 五象湖,3室2厅,89.01平米,"15,167元/平",135万,南毛坯高楼层(共49层) ,https://nn.lianjia.com/ershoufang/105109146587.html
中高楼层 东南亚风情园林、双景观水系等休闲区。,彰泰郡 五象湖,3室2厅,86.24平米,"10,089元/平",87万,南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115575917.html
五象南欢乐之家，毛坯三房，满二现房！,欢乐之家 五象湖,3室2厅,93平米,"7,527元/平",70万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113542412.html
开发商精装交付，物业管理好，诚心出售，欢迎电询,荣和·五象学府 五象湖,3室2厅,80.48平米,"11,183元/平",90万,南其他低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115557099.html
3号线地铁口三错层免双税精装修4房,宝能五象湖一号 五象湖,4室2厅,129.51平米,"14,053元/平",182万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110059135.html
五象南建工城毛坯4房72万叶族诚心出售,建工城 五象湖,3室2厅,104平米,"6,924元/平",72万,东其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114742692.html
三中旁，高楼层采光好，阳台朝南,万科魅力之城 五象湖,4室2厅,89.72平米,"12,818元/平",115万,南精装高楼层(共35层) ,https://nn.lianjia.com/ershoufang/105104388790.html
万科物业，大品牌有保障··上市的物业，口碑好,万科星都荟 五象湖,4室2厅,121平米,"9,009元/平",109万,南 北精装中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105113337396.html
建工城，四房。有车位，公交直达近主干道，成熟商圈,建工城 五象湖,4室2厅,97平米,"8,454元/平",82万,南其他高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105115517203.html
旁边就是五象湖公园，地铁2，3号线交叉口,龙光天瀛 五象湖,3室2厅,94.83平米,"20,036元/平",190万,南毛坯低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105110920967.html
五象南精装房，无抵押，业主诚心出售。,荣和·五象学府 五象湖,3室2厅,110平米,"10,000元/平",110万,南精装高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105115184136.html
荣和五象学府，品质小区，优质物业,荣和·五象学府 五象湖,4室2厅,98平米,"12,756元/平",125万,南 北其他低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105110370548.html
光明城市雅集苑精装3室1厅2卫诚心出售,光明城市雅集苑 五象湖,3室1厅,97平米,"10,928元/平",106万,南简装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114607955.html
旭辉湖山樾3-2-1-2 106.00m² 170 万,旭辉湖山樾 五象湖,3室2厅,106平米,"15,095元/平",160万,南其他低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105113262775.html
房子有证满二，精装4房2卫，中高层，视野好。,彰泰郡 五象湖,4室2厅,103.26平米,"11,622元/平",120万,南 北精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105114685334.html
品质好，位置优越，规划有地铁3号延长线。,欢乐之家 五象湖,4室2厅,115平米,"7,131元/平",82万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114153264.html
朝南户型 彩光很好 业主也好说话 满2年,建工城 五象湖,4室2厅,136.43平米,"8,430元/平",115万,南其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116146303.html
实实在在的精装修，带高档家电家电，正常首付，3房,华润二十四城 五象湖,3室2厅,89平米,"15,281元/平",136万,南精装高楼层(共53层) ,https://nn.lianjia.com/ershoufang/105106555829.html
建工城 5室2厅 南 北,建工城 五象湖,5室2厅,199.03平米,"6,783元/平",135万,南 北毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114609013.html
走过路过不要错过 业主诚心卖价格可谈,龙光天瀛 五象湖,3室2厅,108平米,"20,371元/平",220万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113816102.html
毛坯房通透户型 彩光视野都很不错,宝能五象湖一号 五象湖,3室1厅,90.64平米,"15,446元/平",140万,南毛坯中楼层(共45层) ,https://nn.lianjia.com/ershoufang/105116837707.html
东南朝向 视野无遮挡 精装3房2卫,华润二十四城 五象湖,3室2厅,100.37平米,"15,144元/平",152万,南精装中楼层(共45层) ,https://nn.lianjia.com/ershoufang/105114407258.html
荣和五象学府，精装4房未入住，使用率高,荣和·五象学府 五象湖,3室2厅,98平米,"9,184元/平",90万,东南精装低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105112133070.html
荣和五象院子 3室2厅 南,荣和五象院子 五象湖,3室2厅,79.85平米,"11,397元/平",91万,南简装高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105116604561.html
龙光天瀛毛坯大三房，户型方正视野采光充足，价格实惠,龙光天瀛 五象湖,3室2厅,108平米,"18,519元/平",200万,南毛坯中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105112876546.html
五象总部基地体育场光明城市行知苑,光明城市行知苑 五象湖,4室2厅,130平米,"11,000元/平",143万,南简装中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105104359642.html
荣和五象学府 四房两卫 101平,荣和·五象学府 五象湖,4室2厅,101平米,"13,862元/平",140万,南其他中楼层(共24层) ,https://nn.lianjia.com/ershoufang/105114990605.html
户型很好，地铁二，三号线，五象湖公园，主干道出行,合景天汇广场 五象湖,3室2厅,97平米,"13,299元/平",129万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111760241.html
五象新区龙光天瀛三房诚心出售十四中旁边,龙光天瀛 五象湖,3室1厅,108平米,"19,445元/平",210万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115696008.html
双地铁口，万象汇，物业好，上学近业主诚信出售,华润二十四城 五象湖,3室2厅,84.39平米,"14,576元/平",123万,南其他高楼层(共47层) ,https://nn.lianjia.com/ershoufang/105112261910.html
五象湖 四大天王 精装小两房 双地铁,龙光天瀛 五象湖,2室1厅,60平米,"26,667元/平",160万,东其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114975560.html
五象新区 欢乐之家 单位商品房 红本在手 产权清晰板楼,欢乐之家 五象湖,3室2厅,92平米,"8,153元/平",75万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111700302.html
华润房开 双地铁 户型方正 中高楼层 温馨毛坯三房,华润二十四城 五象湖,3室2厅,88.59平米,"14,223元/平",126万,南毛坯中楼层(共54层) ,https://nn.lianjia.com/ershoufang/105110978697.html
宝能五象湖一号 3室2厅 南,宝能五象湖一号 五象湖,3室2厅,93.5平米,"12,835元/平",120万,南精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105107936946.html
中高楼层 东南亚风情园林、双景观水系等休闲区。,彰泰郡 五象湖,3室2厅,86.24平米,"10,089元/平",87万,南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115575917.html
建工城127平朝南大三房业主低价出售,建工城 五象湖,3室2厅,127平米,"6,693元/平",85万,北毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115527012.html
五象湖龙光天瀛3房业主诚心出售,龙光天瀛 五象湖,3室2厅,95平米,"20,000元/平",190万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114731988.html
业主急售，五象中间楼栋，宽敞四房，南北对流,欢乐之家 五象湖,4室2厅,137.73平米,"7,915元/平",109万,南其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116211848.html
五象新区 欢乐之家 单位商品房 红本在手 产权清晰板楼,欢乐之家 五象湖,3室2厅,92平米,"8,153元/平",75万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111700302.html
五象湖  十四中旁  带产权车位  户型方正,旭辉湖山樾 五象湖,4室2厅,149平米,"16,108元/平",240万,南 北其他中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105115384052.html
宝能五象湖一号 3室2厅 南,宝能五象湖一号 五象湖,3室2厅,93.5平米,"12,835元/平",120万,南精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105107936946.html
锦绣麟城 4室2厅 东南,锦绣麟城 五象湖,4室2厅,131平米,"9,924元/平",130万,东南其他高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116294912.html
建工城127平朝南大三房业主低价出售,建工城 五象湖,3室2厅,127平米,"6,693元/平",85万,北毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115527012.html
户型好，采光好，现诚心出售，产权清晰,建工城 五象湖,4室2厅,112平米,"6,965元/平",78万,南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116146877.html
龙光天瀛毛坯大三房，户型方正视野采光充足，价格实惠,龙光天瀛 五象湖,3室2厅,108平米,"18,519元/平",200万,南毛坯中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105112876546.html
：业主一手买入，刚交房，可等证过户，产权清晰，,建工城 五象湖,5室2厅,135平米,"8,519元/平",115万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105109305112.html
五象新区龙光天瀛三房诚心出售十四中旁边,龙光天瀛 五象湖,3室1厅,108平米,"19,445元/平",210万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115696008.html
融创九棠府 1室1厅 南,融创九棠府二期 五象湖,1室1厅,93.25平米,"12,869元/平",120万,南毛坯低楼层(共1层) ,https://nn.lianjia.com/ershoufang/105112357351.html
荣和五象学府 四房两卫 101平,荣和·五象学府 五象湖,4室2厅,101平米,"13,862元/平",140万,南其他中楼层(共24层) ,https://nn.lianjia.com/ershoufang/105114990605.html
五象湖精装三房出售。。。。。。。。。,合景天汇广场 五象湖,3室2厅,94.16平米,"12,745元/平",120万,南精装高楼层(共46层) ,https://nn.lianjia.com/ershoufang/105109628900.html
五象湖  十四中旁  带产权车位  户型方正,旭辉湖山樾 五象湖,4室2厅,149平米,"16,108元/平",240万,南 北其他中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105115384052.html
建工城4房价格实惠，毛坯新房，楼层好，采光佳,建工城 五象湖,4室2厅,108平米,"7,500元/平",81万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112138629.html
锦绣麟城 4室2厅 东南,锦绣麟城 五象湖,4室2厅,131平米,"9,924元/平",130万,东南其他高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116294912.html
五象湖地铁口 龙光天瀛 毛坯3房2卫 小区中间 电梯高层,龙光天瀛 五象湖,3室2厅,95平米,"30,000元/平",285万,东 南毛坯高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105111762684.html
户型好，采光好，现诚心出售，产权清晰,建工城 五象湖,4室2厅,112平米,"6,965元/平",78万,南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116146877.html
五象总部基地 五象湖 地铁公园房,光明城市梦溪苑 五象湖,3室1厅,95.72平米,"11,701元/平",112万,南 北毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114092503.html
地铁二、三号线，五象湖公园，没有欠款,合景天汇广场 五象湖,3室2厅,87平米,"14,943元/平",130万,南 北精装高楼层(共46层) ,https://nn.lianjia.com/ershoufang/105111336106.html
"14中旁边，地铁2，3号线交叉口,旁边就是五象湖公园",龙光天瀛 五象湖,3室2厅,108平米,"17,593元/平",190万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114721550.html
地铁口，业主诚心出售，房子空置，看房方便  无欠款,宝能五象湖一号 五象湖,3室2厅,89.87平米,"14,800元/平",133万,南毛坯低楼层(共45层) ,https://nn.lianjia.com/ershoufang/105116833336.html
建工城 5室2厅 南,建工城 五象湖,5室2厅,167平米,"6,887元/平",115万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116294712.html
建工城四房医疗配套，近主干道，成熟商圈，品牌房企,建工城 五象湖,4室2厅,137平米,"7,519元/平",103万,南 北毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116124583.html
南宁头个交房得证的小区，铁学商样样配齐，随时看房,旭辉湖山樾 五象湖,3室2厅,104平米,"18,270元/平",190万,南精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105108325427.html
总部基地旁，精装四房，诚意出售，随时看房,融创九棠府二期 五象湖,4室2厅,131平米,"12,214元/平",160万,南 北其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105110481271.html
锦绣麟城宽敞楼距出行方便方正通透,锦绣麟城 五象湖,4室2厅,128.14平米,"9,990元/平",128万,南 北毛坯中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115313986.html
此房楼栋位置好，布局大方、采光充足！地理位置优越,荣和·五象学府 五象湖,3室2厅,113.81平米,"12,302元/平",140万,东南其他低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105114416277.html
有露台，五象湖商圈，精装修交付，地理位置优越,旭辉湖山樾 五象湖,3室2厅,105.71平米,"14,909元/平",157.6万,东南精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105113777708.html
光明城市 4室2厅 南,光明城市 五象湖,4室2厅,117.89平米,"11,452元/平",135万,南其他高楼层(共39层) ,https://nn.lianjia.com/ershoufang/105116005735.html
看房方便，毛坯自由装修。业主诚心卖,宝能五象湖一号 五象湖,3室1厅,84平米,"16,072元/平",135万,南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105111796428.html
建工城125平四房毛坯出售，有证了,建工城 五象湖,4室2厅,126平米,"9,921元/平",125万,南 北毛坯高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114602136.html
户型很好，地铁二，三号线，五象湖公园，主干道出行,合景天汇广场 五象湖,3室2厅,89平米,"12,360元/平",110万,南精装高楼层(共49层) ,https://nn.lianjia.com/ershoufang/105113248003.html
五象南万科金域国际精装3房业主诚心出售,万科金域国际 五象湖,3室2厅,96平米,"14,480元/平",139万,东南精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105112790096.html
旭辉湖山樾 精装三房 104平,旭辉湖山樾 五象湖,3室2厅,104平米,"15,193元/平",158万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114003108.html
两个阳台，视野开阔，得房率高，一级物业 ，宜居社区,檀府印象檀熙 五象湖,4室2厅,127.79平米,"10,173元/平",130万,南 北精装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105111668058.html
五象南大盘好楼层，户型方正，价格实惠可谈。,建工城 五象湖,4室2厅,135平米,"8,519元/平",115万,南毛坯高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105114559926.html
五象新区 精装修三房 万科金域国际 业主诚心出售,万科金域国际 五象湖,3室2厅,90平米,"10,500元/平",94.5万,南 北其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116260353.html
房子空置，看房方便，双地铁口看房方便,宝能五象湖一号 五象湖,3室1厅,84平米,"16,667元/平",140万,东南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115906721.html
走过路过不要错过 业主诚心卖价格可谈,龙光天瀛 五象湖,3室2厅,108平米,"20,371元/平",220万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113816102.html
双地铁口，万象汇，物业好，上学近业主诚信出售,华润二十四城 五象湖,3室2厅,84.39平米,"14,576元/平",123万,南其他高楼层(共47层) ,https://nn.lianjia.com/ershoufang/105112261910.html
此房楼栋位置好，布局大方、采光充足！地理位置优越,华润二十四城 五象湖,5室2厅,135.02平米,"17,035元/平",230万,南精装低楼层(共47层) ,https://nn.lianjia.com/ershoufang/105114196859.html
华润房开 双地铁 户型方正 中高楼层 温馨毛坯三房,华润二十四城 五象湖,3室2厅,88.59平米,"14,223元/平",126万,南毛坯中楼层(共54层) ,https://nn.lianjia.com/ershoufang/105110978697.html
户型很好，地铁二，三号线，五象湖公园，主干道出行,合景天汇广场 五象湖,3室2厅,97平米,"13,299元/平",129万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111760241.html
建工城 4室2厅 南,建工城 五象湖,4室2厅,106平米,"8,491元/平",90万,南毛坯中楼层(共39层) ,https://nn.lianjia.com/ershoufang/105116137836.html
地铁口华润二十四城毛坯四房，中间楼层户型好,华润二十四城 五象湖,4室2厅,120平米,"15,000元/平",180万,南 北毛坯中楼层(共49层) ,https://nn.lianjia.com/ershoufang/105109900117.html
建工城比较好的户型96平小四房业主诚心出售,建工城 五象湖,4室2厅,96平米,"7,813元/平",75万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115517757.html
光明城市 3室2厅 南,光明城市 五象湖,3室2厅,100平米,"12,000元/平",120万,南其他低楼层(共16层) ,https://nn.lianjia.com/ershoufang/105116005531.html
五象南 欢乐之家 毛坯4房 两梯两户 南北通 小区中间,欢乐之家 五象湖,4室2厅,139平米,"7,500元/平",104.25万,南毛坯低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115204198.html
五象湖东高品质居住区，出行方便快捷,融创九棠府二期 五象湖,4室2厅,143平米,"11,189元/平",160万,南精装中楼层(共25层) ,https://nn.lianjia.com/ershoufang/105115955241.html
2、3号线地铁，华润物业，改善型3房，业主重新装修,华润二十四城 五象湖,3室2厅,100.92平米,"15,359元/平",155万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115878928.html
业主诚心卖，精装带车位，合适可谈,华润二十四城 五象湖,3室2厅,89平米,"14,607元/平",130万,南精装中楼层(共49层) ,https://nn.lianjia.com/ershoufang/105115090413.html
万象汇 双线地铁口 南北双阳台格局,华润二十四城 五象湖,4室2厅,121平米,"18,182元/平",220万,南 北其他中楼层(共46层) ,https://nn.lianjia.com/ershoufang/105113959453.html
玖珑郡精装三房，全新未入住，业主诚心出售，看房方便,龙光玖珑郡 五象湖,3室2厅,89.39平米,"9,733元/平",87万,东精装高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105114450392.html
五象南建工城毛坯四房低价出售带车位,建工城 五象湖,3室2厅,127平米,"8,268元/平",105万,南 北其他高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105114899833.html
业主急售，价格可谈，精装修，拎包入住,合景天汇广场 五象湖,3室2厅,89平米,"14,045元/平",125万,南精装低楼层(共49层) ,https://nn.lianjia.com/ershoufang/105115202112.html
小区中间位置，中间楼层，随时过户,合景天汇广场 五象湖,3室2厅,100平米,"14,900元/平",149万,东南精装中楼层(共49层) ,https://nn.lianjia.com/ershoufang/105104297210.html
光明城市 湖景美宅  随时看房 总部基地,光明城市行知苑 五象湖,3室2厅,97平米,"11,341元/平",110万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105106229524.html
雅集苑，双阳台3房，价格可以美丽,光明城市雅集苑 五象湖,3室2厅,107.16平米,"11,479元/平",123万,南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112195686.html
这房子准备没了                  v,华润二十四城 五象湖,3室2厅,82.05平米,"18,891元/平",155万,南精装中楼层(共47层) ,https://nn.lianjia.com/ershoufang/105109237199.html
户型方正视野佳 ，业主急售，产权清晰,华润二十四城 五象湖,4室2厅,126平米,"15,477元/平",195万,南 北其他低楼层(共53层) ,https://nn.lianjia.com/ershoufang/105110771118.html
湖景房毛坯房 五象湖畔 有证 产权明晰,湖畔书院 五象湖,5室2厅,174平米,"15,805元/平",275万,南 北其他低楼层(共17层) ,https://nn.lianjia.com/ershoufang/105113545734.html
