标题,位置,房屋类型,面积,单价,总价,介绍,网址
满五不唯一 万象商圈 看房方便 地铁口,利海亚洲国际B区 东盟商务区,1室1厅,33.93平米,"14,737元/平",50万,南 北简装中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105117085134.html
荣和品质，小区中间位置，朝南，看公园景观,荣和公园大道 凤岭北,4室2厅,92平米,"15,218元/平",140万,南精装低楼层(共44层) ,https://nn.lianjia.com/ershoufang/105114544506.html
保利青秀郡  单价11700  高楼层视野很广 业主诚心出售,保利·领秀前城青秀郡 凤岭南,4室2厅,103.62平米,"11,485元/平",119万,东毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116546336.html
満五不唯一，标准一房一厅。看房方便,恒大苹果园·东方诗韵 琅东,1室1厅,45平米,"8,889元/平",40万,南精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105116393157.html
恒大苹果园·东方诗韵 6室2厅 南,恒大苹果园·东方诗韵 琅东,6室2厅,191平米,"5,498元/平",105万,南精装中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105117302245.html
恒大苹果园精装修两房 有证 视野好 含家电家具车位,恒大苹果园·东方诗韵 琅东,2室2厅,81.76平米,"7,315元/平",59.8万,南精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105116444941.html
一号线翡翠园四房朝南 户型合理 采光充足,中房翡翠园二期 琅东,4室2厅,118.01平米,"11,186元/平",132万,南 北其他中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116713951.html
恒大苹果园 大三房 业主诚心出售随时看房,恒大苹果园·东方诗韵 琅东,4室1厅,144平米,"5,695元/平",82万,南精装低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116327084.html
此房满五不唯一，南北通透，采光好。业主保养好,荣和大地二组团 凤岭北,3室1厅,92平米,"13,696元/平",126万,南 北精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116963140.html
新小区，精装修，契税满两年，小区中间楼栋，无遮挡,中铁云景山语城 凤岭北,5室2厅,167平米,"14,851元/平",248万,东南精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105117269593.html
适宜人群，交通出行，户型介绍，小区介绍,美泉1612 凤岭北,3室2厅,108平米,"12,500元/平",135万,南 北精装中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116482629.html
青秀区，凤岭天空，精装3房，业主急售,凤岭天空 仙葫,3室2厅,89平米,"7,192元/平",64万,南精装高楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116872482.html
近百花岭，22年新小区，中高层南北通4房，随时看,东方尊府 凤岭北,5室2厅,143平米,"12,938元/平",185万,南其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105117044915.html
凤岭名园 两房 简单装修  看房子方便,凤岭名园 凤岭北,2室2厅,88平米,"10,228元/平",90万,南 北简装中楼层(共12层) ,https://nn.lianjia.com/ershoufang/105117132461.html
此房满五有个税 小区位置好环境好,蓝山上城 凤岭北,4室1厅,130.45平米,"13,032元/平",170万,东南精装中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105110708271.html
青秀区大观天下，标准四房出售，南北对流,民发大观天下 柳沙,4室2厅,140.12平米,"7,494元/平",105万,东南简装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105111607899.html
润华·尚城街区 2室1厅 南,润华·尚城街区 凤岭北,2室1厅,89.94平米,"7,339元/平",66万,南毛坯高楼层(共17层) ,https://nn.lianjia.com/ershoufang/105116459932.html
青秀区 青秀万达广场旁 建发央著精装可拎包入住,建发央著 青秀万达,3室2厅,88平米,"15,682元/平",138万,南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116649508.html
凤岭北成熟地段毛坯四房看房方便,江宇都会明珠 凤岭北,4室2厅,139平米,"9,713元/平",135万,南毛坯低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105117019539.html
业主诚心出售  全新精装修未入住   安静,保利·领秀前城青秀郡 凤岭南,4室2厅,131平米,"13,588元/平",178万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116729673.html
上东国际单间出售，看房方便，随时可签,阳光100上东国际 琅东,1室1厅,54平米,"9,260元/平",50万,东南简装低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105113162245.html
此房视野广，凤翔+14，采光好，交通便利，诚心出售,丰泽SOHO 金湖,1室1厅,60平米,"25,334元/平",152万,南其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114472141.html
恒大苹果园精装三房有证楼层视野好,恒大苹果园·东方诗韵 琅东,3室2厅,154.3平米,"7,778元/平",120万,东南精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105116139598.html
东盟商务区 凤岭1号 精装大三房 诚意出售。,耀凯凤岭1号 东盟商务区,3室2厅,126平米,"18,413元/平",232万,南精装中楼层(共24层) ,https://nn.lianjia.com/ershoufang/105110094772.html
金湖广场 世纪商都2房出售 看房方便 出行便利,世纪商都 金湖,2室1厅,100.57平米,"21,876元/平",220万,南其他中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105109675130.html
顶楼楼中楼 50平米露台 温馨5房3卫 消防单位金竹苑,金竹苑 凤岭北,5室2厅,170平米,"14,706元/平",250万,南 北简装高楼层(共7层) ,https://nn.lianjia.com/ershoufang/105112770819.html
民族大道旁，凤岭地铁口物业，高楼层3房，视野开阔,阳光100上东国际 琅东,3室2厅,86平米,"11,628元/平",100万,南其他高楼层(共16层) ,https://nn.lianjia.com/ershoufang/105110725508.html
凤岭儿童公园旁，安静舒适，公摊低，绿化环境优雅,怡佳花园 凤岭北,3室2厅,138平米,"13,044元/平",180万,南毛坯高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105106574916.html
青秀区民族大道大三房业主诚心出售,阳光100上东国际 琅东,3室2厅,128.4平米,"10,125元/平",130万,东南精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105108051379.html
一房一厅  视野宽阔 在大阳台看三中,中房翡翠园二期 琅东,1室1厅,43平米,"17,442元/平",75万,东南其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105104377497.html
房子高楼层采光好，位置好，进地铁，近三中，好出租,阳光100上东国际 琅东,1室0厅,47.2平米,"10,594元/平",50万,东南其他中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105107576695.html
楼层好 视野开阔 采光充足 配套设施齐全 交通便利,阳光100上东国际 琅东,1室0厅,51平米,"10,785元/平",55万,南其他低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105105962757.html
产权清晰，业主诚心出售，视野开阔，户型好 采光好,东方皇城花园 凤岭北,3室2厅,114平米,"12,281元/平",140万,南 北精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112677080.html
耀凯凤岭一号精美装修大两房性比价高,耀凯凤岭1号 东盟商务区,2室1厅,84.5平米,"16,569元/平",140万,南精装中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105106846099.html
凤岭北，凤岭山语城品质社区，环境优美，适宜居住,凤岭山语城 凤岭北,3室2厅,87平米,"15,748元/平",137万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105103307052.html
凤岭山语城 精装3房 通透户型 视野采光好 稳定无欠款,凤岭山语城 凤岭北,3室2厅,123平米,"15,854元/平",195万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115063647.html
中房翡翠园   精装高层  一房一厅,中房翡翠园二期 琅东,1室1厅,40.5平米,"16,544元/平",67万,东南精装中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105105181091.html
凤岭南苹果园 低单价低首付 精装大三房 看房方便,恒大苹果园·东方诗韵 琅东,3室2厅,139.34平米,"8,182元/平",114万,南精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105110288930.html
目 式教育，每天看着孩子去学习，出门就是公园,山水方园 东盟商务区,3室2厅,123平米,"21,139元/平",260万,东南简装低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105108785882.html
梦之岛花园 3室2厅 东南,梦之岛花园 琅东,3室2厅,100平米,"12,000元/平",120万,东南其他中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105112713255.html
东盟商务区，小户型一房，业主诚心出售,阳光100上东国际 琅东,1室0厅,55.33平米,"9,941元/平",55万,南其他高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105103709755.html
户型方正，视野开阔，业主诚意出售。,保利·领秀前城青秀郡 凤岭南,4室2厅,122平米,"13,115元/平",160万,东南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105106926573.html
业主诚心出 售精装大三房 满五年,梦之岛花园 琅东,3室2厅,125.57平米,"9,557元/平",120万,南精装11层 ,https://nn.lianjia.com/ershoufang/105107081402.html
金湖广场，民歌湖旁，出行便利，配套齐全,天立TT国际 金湖,1室0厅,53平米,"23,585元/平",125万,南其他高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105116251923.html
祥宾路电网 少有带花园户型 配一个地下车位,广西电网公司埌东生活区 金湖,5室2厅,196平米,"28,827元/平",565万,南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105108840481.html
东盟商务区旁，精装大3房，读书方便,恒大苹果园·东方诗韵 琅东,3室2厅,129平米,"7,752元/平",100万,南其他低楼层(共22层) ,https://nn.lianjia.com/ershoufang/105116585326.html
金湖商圈 世纪家园 户型方正  采光通风好,世纪家园 金湖,2室1厅,76平米,"23,685元/平",180万,东南简装低楼层(共16层) ,https://nn.lianjia.com/ershoufang/105110069518.html
东方华府的楼中楼，双地铁口，出入方便,润华·尚城街区 凤岭北,6室2厅,280平米,"9,286元/平",260万,东精装高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105112405161.html
城市之光漂亮3房，户型方正，地铁3号线,城市之光小区 金湖,3室2厅,131.76平米,"13,662元/平",180万,南简装中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105108052459.html
青秀万达的邻居 竹江景苑单位电梯3房2厅 业主诚心卖房,竹江景苑 青秀万达,3室2厅,133平米,"11,279元/平",150万,南其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115319089.html
中房翡翠园二期 3房2厅1卫 精装出售,中房翡翠园二期 琅东,2室2厅,88平米,"13,069元/平",115万,南 北其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105110047102.html
地铁口旁边 精装修 业主急售 看房有钥匙 买来即收租,领世郡1号 东盟商务区,1室1厅,73.54平米,"24,477元/平",180万,南其他低楼层(共16层) ,https://nn.lianjia.com/ershoufang/105115157914.html
联发君澜三房中间楼层业主急售园林绿化好,联发君澜 凤岭北,3室2厅,89平米,"13,596元/平",121万,南其他中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105114445179.html
近东站精装3房 高区采光通风好 不临路安静 随时看,保利·童心缘 凤岭北,3室2厅,90.67平米,"14,338元/平",130万,南精装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105106903810.html
凤岭北的近爱琴海城市广场、山姆会员店,润华·尚城街区 凤岭北,3室2厅,120.02平米,"11,499元/平",138万,南毛坯高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105111923569.html
精装保养很好，中间楼层，采光好，无欠款，产权清晰,润华·尚城街区 凤岭北,4室2厅,125平米,"10,800元/平",135万,东其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114085190.html
此房全南朝向，楼层好，视野开阔，采光充足,南湖国际广场 青秀万达,3室2厅,143.8平米,"22,949元/平",330万,南其他高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105112572250.html
尚城街区 标准大两房 业主诚心出售,润华·尚城街区 凤岭北,2室2厅,85平米,"9,412元/平",80万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114665524.html
三号线地铁 琅西菜市旁 金州琅园,金州琅园 金湖,2室1厅,135.5平米,"8,857元/平",120万,南其他高楼层(共12层) ,https://nn.lianjia.com/ershoufang/105104403138.html
单位大院 准电梯房 三房两卫 带杂物房 车位出售,南宁市南湖公务员住宅小区 青秀万达,3室2厅,107平米,"30,842元/平",330万,南精装低楼层(共8层) ,https://nn.lianjia.com/ershoufang/105111882336.html
小区位于民族大道地铁边上，精装四房，小区环境好,塞纳维拉花园 凤岭北,4室2厅,163.8平米,"11,600元/平",190万,东南精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105108306394.html
与万象城一步之遥，尽享东盟繁华商圈配套服务,利海亚洲国际B区 东盟商务区,2室1厅,65.93平米,"16,685元/平",110万,南简装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105109465886.html
高品质小区+优质物业管理+高楼层视野nice,幸福里 东盟商务区,2室2厅,98平米,"32,654元/平",320万,东精装高楼层(共51层) ,https://nn.lianjia.com/ershoufang/105109759442.html
此房格局通透，视野宽阔，采光充足，配套设施齐全,绿地中央广场二期 青秀万达,3室2厅,127平米,"16,536元/平",210万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115375753.html
一号线埌东站，交通便利，业主诚意出售,金龙理想1号 凤岭北,3室2厅,89.03平米,"12,356元/平",110万,南精装低楼层(共17层) ,https://nn.lianjia.com/ershoufang/105107156320.html
东盟商务区利海亚洲国际一房一厅出售,利海亚洲国际 东盟商务区,1室1厅,49.84平米,"17,055元/平",85万,南精装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105107094117.html
南湖桥头，有地铁有公园，适合改善养老的人群,富仕园 金湖,4室2厅,175.6平米,"11,390元/平",200万,东南精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105112551671.html
东盟商务区 青秀山脚下  低总价复式小户型,联盟新城 东盟商务区,1室1厅,45平米,"16,445元/平",74万,南精装高楼层(共15层) ,https://nn.lianjia.com/ershoufang/105116059689.html
青秀区凤岭南1号线地铁口利海亚洲国际出售,利海亚洲国际 东盟商务区,1室0厅,52.35平米,"13,945元/平",73万,东南其他中楼层(共21层) ,https://nn.lianjia.com/ershoufang/105115653241.html
越秀路凯悦国际 中间楼栋 好户型 诚心出售,凯悦国际 东盟商务区,3室2厅,143平米,"18,392元/平",263万,东南精装低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105111691212.html
高层朝小区安静，采光好，视野开阔,凤岭名园 凤岭北,1室1厅,41平米,"13,903元/平",57万,北简装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116717968.html
航洋万象商圈，业主诚心卖，采光好，保养良好,美泉1612 凤岭北,1室1厅,35.53平米,"17,451元/平",62万,西精装中楼层(共20层) ,https://nn.lianjia.com/ershoufang/105111235660.html
业主诚心出售 方便看房 户型方正 小区环境好,长湖景苑 青秀万达,5室2厅,225平米,"11,512元/平",259万,南简装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110243070.html
业主诚心出售，地域区位好。楼层好,城市印象 凤岭北,3室2厅,115平米,"13,566元/平",156万,南其他低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105106840748.html
百花岭地铁站 润华尚城街区 三房,润华·尚城街区 凤岭北,3室2厅,88平米,"10,569元/平",93万,南其他高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105113636764.html
近万象城，高区一房户型方正，看房方便，急售,凤岭山语城 凤岭北,1室1厅,38平米,"17,895元/平",68万,南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116574899.html
爱琴海广场旁  双地铁口，出入方便,润华·尚城街区 凤岭北,4室2厅,181平米,"9,117元/平",165万,南 北毛坯低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116311613.html
凤岭山语城  精装修  复式两房  看房有钥匙,凤岭山语城 凤岭北,2室1厅,74平米,"13,514元/平",100万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115602595.html
利海亚洲国际B区 1室1厅 东南,利海亚洲国际B区 东盟商务区,1室1厅,62平米,"11,452元/平",71万,东南精装低楼层(共22层) ,https://nn.lianjia.com/ershoufang/105104964692.html
万象城盛天地地铁口旁边精装修 急售急售,领世郡1号 东盟商务区,3室2厅,159.71平米,"15,028元/平",240万,西南精装中楼层(共19层) ,https://nn.lianjia.com/ershoufang/105110595881.html
业主诚心出售 ，户型方正，采光好，住着舒适,保利·童心缘 凤岭北,1室1厅,51平米,"13,726元/平",70万,东南其他高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105106393090.html
品质小区/小区园林优美/高楼层/通风采光好,华发国宾壹号 柳沙,4室2厅,143.76平米,"19,477元/平",280万,北精装高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115683373.html
秀山花园健康楼层，小区舒心宜居。业主诚售,秀山花园 东盟商务区,5室2厅,190平米,"7,895元/平",150万,南简装高楼层(共7层) ,https://nn.lianjia.com/ershoufang/105104450993.html
急售 商务区万象城双地铁口一号线一房一厅,利海亚洲国际B区 东盟商务区,1室1厅,65.72平米,"13,695元/平",90万,西 西北精装高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105105931297.html
南湖公园地铁口旁，朝南户型，有房产证，诚心出售,銘湖經典 金湖,4室2厅,163平米,"13,191元/平",215万,南 北精装中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115374460.html
青秀山旁 毛坯大三房 证件齐全 随时过户,恒大苹果园·金色阳光 琅东,3室2厅,152.69平米,"7,532元/平",115万,东南其他中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105108060123.html
翡翠园 四房 采光好 业主急售,中房翡翠园一期 琅东,4室1厅,138.21平米,"11,288元/平",156万,南其他高楼层(共12层) ,https://nn.lianjia.com/ershoufang/105114602592.html
急售！急售！东盟商务区 联盟新城,联盟新城 东盟商务区,1室1厅,43.5平米,"17,932元/平",78万,西南精装中楼层(共15层) ,https://nn.lianjia.com/ershoufang/105110640549.html
凤岭北 刚需小户型 新小区 配套成熟,美泉1612 凤岭北,1室1厅,36平米,"18,056元/平",65万,东南其他中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105107926925.html
急售，急售，朝南户型，精装修，房屋保养好，随时看房,凤岭山语城 凤岭北,3室2厅,86.14平米,"14,628元/平",126万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105106962486.html
华发国宾壹号：看花园，大四房，大阳台，毛坯现房急出,华发国宾壹号 柳沙,4室1厅,139.51平米,"20,429元/平",285万,东 东南 南毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105114882221.html
国宾两房高品质精装生活在公园里的房有车位,华发国宾壹号 柳沙,2室2厅,90.5平米,"18,233元/平",165万,南其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114597574.html
近万象城和航洋城，中区采光视野好，户型方正随时看房,荣顾书香门第 凤岭北,2室2厅,88平米,"16,478元/平",145万,南 北毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111561962.html
凤岭南 大四房 朝南户型 红本在售 看房有钥匙,唐樾青山翰府 琅东,4室2厅,126平米,"14,683元/平",185万,南 西南毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113495846.html
华发两房，大阳台朝南，看泳池，看花园，无贷款,华发国宾壹号 柳沙,2室2厅,90平米,"14,223元/平",128万,南精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105108059833.html
雅典国际边套两套房子打通出售买一层的面积得两层,雅典国际 琅东,2室2厅,88.82平米,"13,736元/平",122万,东精装低楼层(共20层) ,https://nn.lianjia.com/ershoufang/105111532490.html
民族大道次新房小区，精装修4房，有钥匙随时看房,财富国际广场B区 凤岭北,4室2厅,131平米,"19,008元/平",249万,北其他低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116130541.html
东葛商圈 荣和精装3房 低楼层 自住保养好方便看,荣和·中央公园 东葛路,3室1厅,134.26平米,"14,152元/平",190万,南精装低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115868665.html
琅东站一号线，挑空复式1房1厅，带租约（8年租期）,雅典国际 琅东,1室1厅,41.57平米,"15,396元/平",64万,东精装中楼层(共20层) ,https://nn.lianjia.com/ershoufang/105109789914.html
万象城旁边160万两房，业主诚心出售,天健国际公馆 东盟商务区,2室1厅,57平米,"24,562元/平",140万,南精装低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105108060278.html
青秀区·凤岭北东站5号线地铁口融创九熙府3房,融创·九熙府 凤岭北,3室2厅,100平米,"11,000元/平",110万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115725812.html
中房翡翠园一期 3室1厅 南,中房翡翠园一期 琅东,3室1厅,102平米,"11,765元/平",120万,南简装中楼层(共12层) ,https://nn.lianjia.com/ershoufang/105113593030.html
柳沙2023年交房的新小区，阳光城江山景原，2梯3户,阳光城江山璟原 柳沙,4室2厅,167.03平米,"21,314元/平",356万,南 北其他低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116703906.html
青秀柳沙华发国宾区，邕江畔江山景园，看江景宜居养老,招商雍景湾 柳沙,3室2厅,94.17平米,"13,274元/平",125万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105109122301.html
琅东站一号线，挑空复式1房1厅,雅典国际 琅东,1室1厅,42.12平米,"15,433元/平",65万,南精装低楼层(共20层) ,https://nn.lianjia.com/ershoufang/105110960616.html
青秀柳沙国宾区低密度H宅大平层拎包入住带车位出售,招商境界 柳沙,3室2厅,183平米,"20,766元/平",380万,南精装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105115444258.html
利海亚洲国际小单间 朝南 厨房通燃气可下厨 价格可谈,利海亚洲国际B区 东盟商务区,1室1厅,39.95平米,"15,270元/平",61万,南精装低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105113857133.html
华发国宾壹号4-2-1-2 143.00m² 249 万,华发国宾壹号 柳沙,4室2厅,143平米,"16,784元/平",240万,南 北精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105109943229.html
青秀万达商圈，大品牌房企，高档小区，环境优雅,绿地中央广场 青秀万达,3室2厅,122.73平米,"15,889元/平",195万,东南简装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105107532923.html
民族大道次新房小区，财富国际广场B区，精装修大四房,财富国际广场B区 凤岭北,4室2厅,129.85平米,"14,633元/平",190万,南 北其他低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115097001.html
民族大道东盟地铁D口 荣和品牌 精装3房 满五年唯一,荣和·东盟国际 凤岭北,3室2厅,111.35平米,"11,496元/平",128万,南其他高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105114398332.html
中房翡翠园一期  楼中楼 4+1房  视野好,中房翡翠园一期 琅东,5室3厅,183.26平米,"12,005元/平",220万,南 北精装高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105104056755.html
业主诚心出售，看房方便，产权清晰，交易方便。,凤岭·名筑 凤岭北,3室2厅,110.83平米,"10,738元/平",119万,南精装低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105108719144.html
利海亚洲国际在租公寓售卖买入即收租可入户,利海亚洲国际 东盟商务区,1室1厅,48.55平米,"16,890元/平",82万,南其他中楼层(共21层) ,https://nn.lianjia.com/ershoufang/105106932570.html
东盟商务区地铁口，精装三房，高层视野好，南北通透。,荣和·东盟国际 凤岭北,3室2厅,111.7平米,"15,220元/平",170万,南 北简装高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105111746780.html
一号线东盟商务区站，户型漂亮，采光通风好，业主诚售,利海亚洲国际 东盟商务区,3室2厅,131平米,"16,794元/平",220万,南 北精装低楼层(共21层) ,https://nn.lianjia.com/ershoufang/105107409287.html
华发国宾壹号 4室2厅 南,华发国宾壹号 柳沙,4室2厅,128平米,"17,188元/平",220万,南其他高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105114056613.html
万象城 商务区地铁口一号线旁边精装修 急售急售,利海亚洲国际B区 东盟商务区,1室1厅,41.23平米,"16,493元/平",68万,东南精装低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105110843075.html
远辰·山水一号 4室2厅 东南 南,远辰·山水一号 东盟商务区,4室2厅,182.29平米,"20,846元/平",380万,东南 南其他高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105112709577.html
毛坯房 满五唯一 带车位 楼层好 采光充足,华发国宾壹号 柳沙,4室2厅,141平米,"17,022元/平",240万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115693297.html
中楼层，采光好，交通便利，配套设施齐全。,利海亚洲国际B区 东盟商务区,1室0厅,43平米,"16,745元/平",72万,南精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105104381125.html
柳沙2023年交房的新小区，阳光城江山璟原，2梯3户,阳光城江山璟原 柳沙,4室2厅,141.46平米,"20,289元/平",287万,南其他低楼层(共24层) ,https://nn.lianjia.com/ershoufang/105116703797.html
翡翠时光，宽大四房，户型实用，人车分流,中房翡翠时光 琅东,4室2厅,123平米,"12,196元/平",150万,南毛坯低楼层(共17层) ,https://nn.lianjia.com/ershoufang/105113064353.html
适宜人群，装修描述，户型介绍。交通出行,凤岭名园 凤岭北,4室1厅,140平米,"11,429元/平",160万,南简装低楼层(共12层) ,https://nn.lianjia.com/ershoufang/105115826038.html
凤岭南李宁体育园精装三房低楼层户型方正诚心出售,恒大苹果园·金色阳光 琅东,3室2厅,142平米,"7,606元/平",108万,南其他中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105115260197.html
双风翔 朝小区花园，交通便利，户型方正,香格里拉花园 凤岭北,3室2厅,129平米,"12,249元/平",158万,东简装中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105114097840.html
业主诚心出售，格局好，中间楼层，配套成熟，不挡光,天健国际公馆 东盟商务区,1室0厅,87.01平米,"23,446元/平",204万,东 东南精装中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105110472246.html
