标题,位置,房屋类型,面积,单价,总价,介绍,网址
一房子方正，满五带车位，精装修，位置安静户型好,瀚林·御景 西大,4室2厅,117平米,"11,966元/平",140万,东南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105107271339.html
近5号线，滨江公园，户型方正，通风采光，产权清晰。,龙光·水悦龙湾 西大,2室1厅,80平米,"8,750元/平",70万,东南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105111734784.html
业主自住精装三房 阳台看小区园林 高楼层 视野通风好,龙光·君悦华庭 相思湖,3室2厅,98平米,"9,694元/平",95万,南 北其他高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105111582709.html
近5号线，滨江公园，高层视野开扩大4房,龙光·水悦龙湾 西大,4室2厅,112平米,"9,822元/平",110万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115583914.html
到公园散步散心运动；小区楼下100米左右是网红的购,人和莱茵鹭湖 心圩区,2室2厅,38平米,"11,843元/平",45万,西南精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115132548.html
柠檬宿，楼下地铁口，业主诚心出售,丰业·柠檬宿 北湖南,1室1厅,50平米,"7,200元/平",36万,南其他高楼层(共21层) ,https://nn.lianjia.com/ershoufang/105109246570.html
5号线地铁口 带车位 正规4房,龙光·水悦龙湾 西大,4室2厅,133平米,"10,000元/平",133万,东南精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105106219026.html
网红小区莱茵鹭湖，无抵押产权清晰，户型方正,人和莱茵鹭湖 心圩区,4室2厅,88.61平米,"9,706元/平",86万,南毛坯中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105108035023.html
西乡塘地铁口2房复式楼 诚心出售 南北户型 拎包入住,中旭上下 相思湖,2室2厅,56平米,"8,929元/平",50万,南 北其他高楼层(共15层) ,https://nn.lianjia.com/ershoufang/105114554598.html
双地铁口小户型单间配套成熟生活便利柠檬宿单间出售,丰业·柠檬宿 北湖南,1室1厅,48平米,"7,292元/平",35万,南其他低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105113834999.html
民大地铁口500米楼下邕江公园 毛坯3房 急卖随时看房,江湾丽景 相思湖,3室2厅,100.31平米,"8,474元/平",85万,南其他低楼层(共20层) ,https://nn.lianjia.com/ershoufang/105115177379.html
丰业·柠檬宿 1室0厅 南,丰业·柠檬宿 北湖南,1室0厅,36.75平米,"8,980元/平",33万,南其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114333811.html
西大稀三层楼中楼，带60平大凸台，独享私密空间,振宁现代鲁班北区 西大,5室3厅,197平米,"9,138元/平",180万,南简装高楼层(共17层) ,https://nn.lianjia.com/ershoufang/105113218666.html
万达旁 双地铁  四面采光充足 证件齐全 即可拎包入住,澜月府 安吉,4室2厅,123平米,"10,244元/平",126万,东南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105106971149.html
恒大新城 大一房一厅 户型方正 看房方便,恒大新城 北湖南,1室1厅,54平米,"9,075元/平",49万,南精装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105109462501.html
全新装修，精装大阳台三房户型。,骋望天玺 相思湖,3室2厅,95平米,"9,474元/平",90万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115434728.html
莱茵鹭湖精装4房，有证在手，产权清晰，急售可谈,人和莱茵鹭湖 心圩区,4室1厅,88.81平米,"8,333元/平",74万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116881571.html
北湖商圈 单价九千多 大三房交通便利配套成熟,华庭名居 北湖南,3室2厅,133平米,"9,023元/平",120万,南 北其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115863237.html
广西民族大学旁单位小区 蚕业站生活区 物业费低环境好,蚕业技术推广站生活区 相思湖,3室2厅,93平米,"6,775元/平",63万,北其他低楼层(共10层) ,https://nn.lianjia.com/ershoufang/105117087785.html
110.79平精装4房，拧包入住东边朝向,盛天时代 安吉,4室2厅,111.21平米,"8,813元/平",98万,东北精装中楼层(共35层) ,https://nn.lianjia.com/ershoufang/105115560123.html
西大 烟花三月下扬州，千里江陵一水环,亲水湾小区 西大,3室2厅,105.64平米,"6,627元/平",70万,南毛坯高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105111715261.html
业主重新装修 入住时间少 精装可以拎包入住 诚心出售,文华园 西大,3室2厅,87.64平米,"7,075元/平",62万,南精装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105112416145.html
近5号线，滨江公园，户型方正，通风采光，产权清晰。,龙光水悦龙湾御江 西大,3室2厅,89平米,"9,888元/平",88万,南其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116737604.html
西大板块，房子楼层好，电梯房，新秀公园地铁口,新阳国际小区 西大,2室1厅,52.21平米,"7,662元/平",40万,东南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105117081601.html
江景大三房，业主急售，拎包入住,龙光·水悦龙湾 西大,4室2厅,128.86平米,"8,925元/平",115万,南 北简装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116482483.html
正恒国际 精装修 大三房 看财经学院 拎包入住,正恒国际 西大,3室2厅,109平米,"9,634元/平",105万,东南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115740062.html
友衡+18，楼下双地铁口，电梯1房1厅，总价低，好出租,丰业·柠檬宿 北湖南,1室1厅,45平米,"6,223元/平",28万,南简装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105117223109.html
台湾街精装3房！业主急卖！单价7300！产权清晰！,台湾街宜兰湾 西大,3室2厅,93平米,"7,312元/平",68万,东南精装低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105117255168.html
2号线地铁口，碧桂园精装3房，全新未住过,碧桂园·新城之光 安吉,3室1厅,79平米,"7,684元/平",60.7万,东精装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105115966262.html
明秀西园 3室1厅 东南 南,明秀西园 西大,3室1厅,84.82平米,"5,306元/平",45万,东南 南简装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105116969281.html
童乐嘉园 1室1厅 南,童乐嘉园 石埠,1室1厅,60平米,"4,667元/平",28万,南精装高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105117103483.html
双地铁口 四面采光 随时可看 证件齐全,紫荆苑 西大,3室2厅,96平米,"13,021元/平",125万,东南简装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105116705724.html
建发华鼎北大珑廷 二楼120平大露台 锦华+18 配套齐全,建发鼎华北大珑廷 西大,4室2厅,116平米,"12,932元/平",150万,南毛坯低楼层(共50层) ,https://nn.lianjia.com/ershoufang/105116663843.html
2 号线地铁口精装 3 房，业主诚心出售,广西水电工程局安吉生活区 安吉,3室2厅,85平米,"5,530元/平",47万,南 北精装高楼层(共8层) ,https://nn.lianjia.com/ershoufang/105114895385.html
老城区位置，房型方正，采光良好，步梯5楼方便,新阳南一区 西大,2室1厅,57.7平米,"6,066元/平",35万,南 北其他中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105115693512.html
振业·尚府 4室2厅 南 北,振业·尚府 西大,4室2厅,117平米,"10,171元/平",119万,南 北其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117121314.html
安吉万达旁 近花卉公园 地铁口 四面采光,澜月府 安吉,4室2厅,128平米,"10,000元/平",128万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116906400.html
衡阳西路 1.2号线地铁口 十八中 广运都市景苑两房,广运·都市景苑小区一期 西大,2室1厅,57.5平米,"8,348元/平",48万,南简装中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105112999010.html
瀚林·御景 3室2厅 南,瀚林·御景 西大,3室2厅,91平米,"9,561元/平",87万,南简装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105117197100.html
西大商圈 火炬路楼梯两房 楼下每天红红火火,富达花园 西大,2室2厅,70.86平米,"5,504元/平",39万,东南其他低楼层(共7层) ,https://nn.lianjia.com/ershoufang/105116322469.html
莱茵鹭湖四房，中楼层，证在手，产权清晰，费用各付,人和莱茵鹭湖 心圩区,4室2厅,89平米,"8,371元/平",74.5万,北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116713234.html
南宁市郊区人民政府宿舍 3室2厅 南 北,南宁市郊区人民政府宿舍 西大,3室2厅,98平米,"6,021元/平",59万,南 北简装低楼层(共7层) ,https://nn.lianjia.com/ershoufang/105116235615.html
笋盘.5号线.西大东门商圈.急售房源.,万汇华府 西大,2室2厅,65平米,"8,847元/平",57.5万,南简装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117061375.html
北湖北路学 荣和物业 成熟商圈，农贸市场，地铁口小区,MOCO荣和摩客社区 北湖南,3室2厅,78.61平米,"10,177元/平",80万,北 东北精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116501470.html
新阳路精装2房！装修保养好，步梯低楼层，产权清晰！,壮锦社区 西大,2室1厅,54平米,"5,371元/平",29万,南简装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105117001058.html
西乡塘区品质小区高层南向视野。,同人·学府大道 相思湖,1室1厅,33.55平米,"9,240元/平",31万,南简装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105108709694.html
春水初生绿似苔  一支红杏出墙来,廣鑫居 西大,3室2厅,102.2平米,"6,830元/平",69.8万,南精装高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105117040536.html
准新房、房子全新装修，楼层好，视野广，业主诚意出售,招商樾园 相思湖,3室2厅,113平米,"9,558元/平",108万,南精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115975169.html
北湖老城区低总价两房带杂物房诚意出售,秀湖花園南区 北湖南,2室2厅,64平米,"5,625元/平",36万,南 北简装低楼层(共9层) ,https://nn.lianjia.com/ershoufang/105115870053.html
地铁1号线 高楼层 精装3房 采光通风好,同人·学府大道 相思湖,3室2厅,101平米,"8,614元/平",87万,南 北精装高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105114375345.html
房子是装修的，采光好，通透。22222,同人·学府大道 相思湖,2室1厅,60.29平米,"9,123元/平",55万,西北其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105112722737.html
房子是正南朝向，房子是横厅布局，采光好。,骋望天玺 相思湖,4室2厅,119.79平米,"8,098元/平",97万,东南其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105112586068.html
急卖！民大地铁口！毛坯房三房两厅两卫，,龙光·君悦华庭 相思湖,3室2厅,89.7平米,"8,785元/平",78.8万,南毛坯高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105114864395.html
中楼层，视野开阔！采光通风好！可一览相思湖畔！,和思 · 相思湖畔A区 相思湖,3室2厅,96平米,"8,855元/平",85万,南 北其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105105548549.html
西乡塘客运站300米，精装修，拎包入住,大唐果(西乡塘区) 相思湖,2室1厅,47平米,"10,639元/平",50万,南其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114972164.html
地铁口！中旭天旭三房两厅！毛坯出售,中旭·天悦 相思湖,3室2厅,70平米,"9,286元/平",65万,南毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114905352.html
民族大学旁经典两房 朝南向 采光通风好 大阳台,骋望天玺 相思湖,2室1厅,84平米,"8,810元/平",74万,东南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114750552.html
广西民族大学旁 业主自住房 保养好 看房方便 价格可谈,同人·学府大道 相思湖,3室2厅,73.59平米,"8,833元/平",65万,南 北其他中楼层(共23层) ,https://nn.lianjia.com/ershoufang/105115753261.html
中间楼层，流通视野，很舒服，采光好。,荣和·邕江华府 相思湖,4室2厅,129.5平米,"11,584元/平",150万,南精装中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105110771439.html
产权清晰，欠款自己还，通风采光良好，证在手,招商樾园 相思湖,3室2厅,84平米,"10,239元/平",86万,南 北精装低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105113098941.html
舒适精装三房，高层采光好，视野好，通风。,招商樾园 相思湖,3室2厅,81.89平米,"9,525元/平",78万,南 北其他中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113045569.html
民族大学旁 精装修3房 低总价 置业压力小 首套房之选,中旭·天悦 相思湖,3室2厅,69.41平米,"9,653元/平",67万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115344727.html
老城区新阳商圈，交通便利，采光好，近朝阳，西大商圈,亲水湾小区 西大,4室2厅,126.61平米,"9,873元/平",125万,南 北其他高楼层(共29层) ,https://nn.lianjia.com/ershoufang/105110612523.html
繁华地段，地铁1号线上的物业， 户型方正 ，采光好,时代天骄 西大,1室1厅,50.79平米,"9,057元/平",46万,南简装低楼层(共20层) ,https://nn.lianjia.com/ershoufang/105109138693.html
澜月府精装修3房120万还能谈,澜月府 安吉,3室2厅,98平米,"12,245元/平",120万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116529418.html
西乡塘区 明秀西路 水悦龙湾3居室 近5号地铁,龙光·水悦龙湾 西大,3室2厅,112.3平米,"10,241元/平",115万,南精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105110965245.html
，有便利店餐饮还有其他配套，有相思湖购物广场。....,相思湖花园 相思湖,3室1厅,128平米,"9,219元/平",118万,南 北毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105115431600.html
大学东路 精装3房 有车位可卖,瀚林·御景 西大,3室2厅,84平米,"11,191元/平",94万,南 北其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112695160.html
西乡塘地铁口 56平复式楼 有露台 业主诚心出售 可谈,中旭上下 相思湖,2室2厅,56.4平米,"9,752元/平",55万,南 北简装低楼层(共15层) ,https://nn.lianjia.com/ershoufang/105113715469.html
网红小区风景优美公园环抱养老休闲好地方,人和莱茵鹭湖 心圩区,4室2厅,89.15平米,"10,096元/平",90万,南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116003597.html
朝阳商圈精装房业主改善换房出售价格便宜,龙光·水悦龙湾 西大,4室2厅,132平米,"10,076元/平",133万,南精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115559420.html
房子满五唯一 业主诚心卖  邕江边房子 地铁一号线200,龙光·水悦龙湾 西大,4室2厅,133.4平米,"9,506元/平",126.8万,南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105113060860.html
相思湖公园旁117平大4房，红本在手，随时过户,红日江山 心圩区,4室2厅,117平米,"7,522元/平",88万,南 北毛坯中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105113029609.html
安吉万达盘，品质大盘，小区环境优美，诚意出售,澜月府 安吉,3室2厅,98.54平米,"10,961元/平",108万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105114734793.html
安吉万达商圈，精装三房，中间楼层，采光通风好,澜月府 安吉,3室2厅,95平米,"12,106元/平",115万,东南其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116072861.html
网红小区 复式公寓 业主诚意售房,人和莱茵鹭湖 心圩区,1室2厅,49平米,"9,388元/平",46万,东南毛坯高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105105298791.html
近5号线，滨江公园，户型方正，通风采光，产权清晰。,龙光·水悦龙湾 西大,2室2厅,85平米,"10,000元/平",85万,南 北精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105109625547.html
朝阳商圈精装房业主改善换房出售价格便宜,融创·融公馆 朝阳,3室2厅,99平米,"13,132元/平",130万,东南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105113810143.html
朝阳商圈精装房业主改善换房出售价格便宜,奥园永和府二期 朝阳,3室2厅,104.78平米,"10,976元/平",115万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114173941.html
港航江缘时代广场二期 一线邕江视野 综合配套齐全成熟,港航·江缘时代广场二期 朝阳,3室2厅,110.47平米,"6,518元/平",72万,南简装低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116499731.html
朝阳商圈精装房业主改善换房出售价格便宜,荣恒江景 朝阳,4室2厅,131平米,"8,855元/平",116万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116692351.html
华亨邕江御景 1室1厅 北,华亨邕江御景 朝阳,1室1厅,41.83平米,"9,085元/平",38万,北简装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116790105.html
建发北大珑延玖栋顶楼的毛坯房，喜欢顶楼的朋友,建发鼎华北大珑廷 西大,4室2厅,145平米,"12,759元/平",185万,南其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105116971308.html
全新新房业主未入住过 空置 阳台看江景 得房高,荣和·邕江华府 相思湖,4室2厅,129.81平米,"9,091元/平",118万,南其他低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105113937327.html
阳光城檀悦，西大东门高品质小区，2020年建成。,阳光城·檀悦 西大,3室2厅,96平米,"11,459元/平",110万,南精装低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105114503574.html
朝阳商圈精装房业主改善换房出售价格便宜,融创·融公馆 朝阳,1室0厅,42.41平米,"11,790元/平",50万,东南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114300644.html
朝阳民生广场 正规两房 随时看房 采光好,邕江一品 朝阳,2室1厅,86平米,"10,466元/平",90万,东南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114833291.html
朝阳商圈毛坯房业主改善换房出售价格便宜,融创融公馆融懿苑 朝阳,4室1厅,114.64平米,"10,294元/平",118万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113238060.html
融公馆毛坯房业主换房诚意出售单价9500,融创融公馆融懿苑 朝阳,3室1厅,92.73平米,"10,245元/平",95万,南精装高楼层(共39层) ,https://nn.lianjia.com/ershoufang/105113257507.html
朝阳商圈  三街两巷旁 世贸商城,世贸商城 朝阳,1室0厅,41平米,"7,805元/平",32万,东南简装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111233949.html
此房通风 采光 楼层好 视野宽阔 采光充足 配套齐全,邕江时代广场(一期) 朝阳,2室1厅,87平米,"7,587元/平",66万,南 北简装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105110671722.html
次新房精装未入住过带大4房，南边北边各一个阳台,澜月府 安吉,4室2厅,126平米,"11,151元/平",140.5万,东南精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105111570746.html
准新房朝阳商圈精装房业主改善换房出售价格便宜,融创·融公馆 朝阳,3室2厅,98.3平米,"11,699元/平",115万,南 北精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112051541.html
北湖北路商圈 交通便利 户型方正 精装 朝南 随时可看~,云星城市春天西区 北湖南,3室2厅,130平米,"11,154元/平",145万,南精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105110456735.html
一线江景房朝阳商圈精装房业主改善换房出售价格便宜,荣恒江景 朝阳,3室1厅,111.55平米,"9,234元/平",103万,东南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112203975.html
西大旁品质三房，近地铁公园，业主诚意出售,龙光·水悦龙湾 西大,3室2厅,135平米,"8,149元/平",110万,南精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112574693.html
地铁口 写字楼 大唐天城 另外一套打通一起,大唐天城 北湖南,1室1厅,50平米,"9,000元/平",45万,南简装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112849844.html
朝阳商圈精装房业主改善换房出售价格便宜,融创融公馆融达苑 朝阳,3室2厅,90.81平米,"10,902元/平",99万,东南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116224144.html
1号线地铁口 1楼的3层楼中楼 层高都高于3.2米,骋望剑桥郡 相思湖,7室6厅,474平米,"6,752元/平",320万,南精装低楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116146682.html
朝阳商圈精装房业主改善换房出售价格便宜,融创·融公馆 朝阳,1室0厅,41.88平米,"8,596元/平",36万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116361398.html
华亨邕江御景 3室2厅 东南,华亨邕江御景 朝阳,3室2厅,98平米,"11,021元/平",108万,东南简装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116014973.html
无欠款 满五年唯一！装修保养好！看房方便,瀚林·御景 西大,4室2厅,117平米,"9,830元/平",115万,南 北其他中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116386838.html
融昌·邕江银座 2室1厅 东南 南,融昌·邕江银座 朝阳,2室1厅,60平米,"11,334元/平",68万,东南 南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116140576.html
人民路8字头，精装大四房，新阳100，朝阳商圈，,新阳100 朝阳,4室2厅,165平米,"8,122元/平",134万,南精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105106336532.html
朝阳商圈  小区房  卫国 小 学旁  万通空中花园大三房,万通空中花园 朝阳,3室2厅,106平米,"7,453元/平",79万,东南简装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105110308926.html
朝阳商圈近民生广场 正规3房 业主诚心出售,邕江时代广场(一期) 朝阳,3室2厅,105平米,"8,858元/平",93万,南简装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105105190841.html
朝阳商圈，单间配套年轻人的选择。,华西路7号院 朝阳,1室1厅,34.7平米,"8,646元/平",30万,南简装中楼层(共6层) ,https://nn.lianjia.com/ershoufang/105106855158.html
单价5000 步梯楼房 精装2房 南北对流,昌泰清华园柳园组团 石埠,2室2厅,82平米,"4,635元/平",38万,南精装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105115981337.html
126平大三房一号线地铁口满五唯一,童乐嘉园 石埠,3室2厅,126平米,"4,762元/平",60万,南毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115654387.html
南宁卷烟厂秀厢生活区 3室2厅 东南,南宁卷烟厂秀厢生活区 北湖南,3室2厅,85.92平米,"5,936元/平",51万,东南简装高楼层(共8层) ,https://nn.lianjia.com/ershoufang/105117298776.html
天域香格里拉  一房一厅出售，看房方便，朝小区花园,天域·香格里拉 西大,1室1厅,48.38平米,"6,822元/平",33万,东南其他低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115454779.html
西大商圈  房子户型方正 采光好 通风好,时代天骄 西大,1室0厅,63.19平米,"7,913元/平",50万,北 南其他中楼层(共20层) ,https://nn.lianjia.com/ershoufang/105105700648.html
西大旁地铁口三房，近江近公园，业主诚意售，方便看房,龙光·水悦龙湾 西大,3室2厅,115平米,"10,435元/平",120万,南 北精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112556040.html
西大旁高品质三房！全新装修没住过！自住出租皆宜！！,阳光城·檀悦 西大,3室2厅,96平米,"13,021元/平",125万,南精装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105109212409.html
近5号线，滨江公园，户型方正，通风采光，产权清晰。,龙光·水悦龙湾 西大,2室2厅,86.91平米,"9,666元/平",84万,南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105109856678.html
网红小区 相思小镇旁 精美3房 南北通 户型采光好,人和莱茵鹭湖 心圩区,3室2厅,79平米,"11,266元/平",89万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105106104921.html
采光好设备齐全交通便利带多得一间房,人和莱茵鹭湖 心圩区,2室1厅,77平米,"9,741元/平",75万,南 西南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112449616.html
相思湖商圈.天然氧吧中的精装LOFT.环境优美,人和莱茵鹭湖 心圩区,2室2厅,49平米,"12,858元/平",63万,南精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105105199414.html
此房户型格局好，视野开阔，阳光充足，随时看签。,人和莱茵鹭湖 心圩区,4室2厅,98.07平米,"11,727元/平",115万,北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105106693876.html
业主诚心出售，户型方正，采光通风好,四季绿洲 西大,2室1厅,82.06平米,"10,115元/平",83万,南 北毛坯中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114959651.html
西大商圈毛坯3房，小区环境优美物业好,瀚林·御景 西大,3室2厅,89平米,"11,798元/平",105万,南其他低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105110906619.html
精致小户 精致装修 出行方便 出行便利,人和莱茵鹭湖 心圩区,1室1厅,49平米,"14,286元/平",70万,南 北其他中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105116130194.html
人和莱茵鹭湖 1室1厅 南,人和莱茵鹭湖 心圩区,1室1厅,49.16平米,"10,171元/平",50万,南精装低楼层(共22层) ,https://nn.lianjia.com/ershoufang/105113134680.html
网红小区成熟适合居住配套成熟，，，，，，，，,人和莱茵鹭湖 心圩区,2室1厅,49平米,"11,837元/平",58万,南其他低楼层(共22层) ,https://nn.lianjia.com/ershoufang/105109740001.html
业主诚心出售，户型方正，采光通风好,瀚林·御景 西大,3室2厅,89平米,"10,000元/平",89万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115919095.html
