标题,位置,房屋类型,面积,单价,总价,介绍,网址
房子满二，精装房，改动性高，户型方正,世茂茂御府 龙岗,3室1厅,79平米,"8,545元/平",67.5万,南其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115993371.html
世茂茂御府 精装两房 拎包入住 有钥匙,世茂茂御府 龙岗,2室2厅,69平米,"10,145元/平",70万,东精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105109869498.html
五象邕江边，底复洋房带双车位，适合三代同堂,中铁江湾山语城 龙岗,7室2厅,300平米,"13,000元/平",390万,南 北精装低楼层(共6层) ,https://nn.lianjia.com/ershoufang/105114312392.html
青秀后花园 宜居大社区 交通方便,中铁江湾山语城 龙岗,4室2厅,134平米,"13,806元/平",185万,南毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110854544.html
五象龙岗 毛坯现房 正常首付 随时看房,中铁江湾山语城 龙岗,4室2厅,100平米,"15,488元/平",154.88万,南毛坯低楼层(共37层) ,https://nn.lianjia.com/ershoufang/105103650479.html
江湾山语城毛坯四房 业主诚心出售,中铁江湾山语城 龙岗,4室2厅,99.95平米,"12,007元/平",120万,南 北毛坯中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105105670036.html
中铁江湾山语城 3室1厅 南,中铁江湾山语城 龙岗,3室1厅,98平米,"12,245元/平",120万,南精装中楼层(共43层) ,https://nn.lianjia.com/ershoufang/105114460149.html
五象东世茂物业，总价低，楼下就是滨江公园,世茂茂御府 龙岗,3室2厅,68平米,"9,559元/平",65万,西简装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113393164.html
江湾山语城，临江小区，物业好，环境好,中铁江湾山语城 龙岗,4室2厅,148平米,"16,217元/平",240万,东南精装中楼层(共12层) ,https://nn.lianjia.com/ershoufang/105113222072.html
万达茂商圈，世茂毛坏4房，有证,世茂茂御府 龙岗,4室1厅,107.9平米,"8,898元/平",96万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114235797.html
洋房社区低密度，户型方正南北连通，小高层得房率高,中铁江湾山语城 龙岗,3室1厅,91平米,"12,088元/平",110万,南其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113937157.html
业主急售房子高层视野好 小区物业管理好价钱可商量,世茂茂御府 龙岗,3室2厅,89平米,"10,675元/平",95万,南 北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111929071.html
五象东 朝南精装三房 全屋家私电器全带 限时出售,世茂茂御府 龙岗,3室2厅,80.19平米,"10,226元/平",82万,东南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105108501792.html
五象龙岗CBD+改造型别墅+5房毛坯,中铁江湾山语城 龙岗,5室2厅,182平米,"16,484元/平",300万,南 北毛坯高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105101831776.html
龙岗精装三房 全新未入住 看房方便,中铁江湾山语城 龙岗,3室1厅,91平米,"13,077元/平",119万,南精装高楼层(共37层) ,https://nn.lianjia.com/ershoufang/105113926560.html
万丰新新传说 3室2厅 南 北,万丰新新传说 龙岗,3室2厅,93.84平米,"8,526元/平",80万,南 北其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113943389.html
五象万达茂商圈，滨江公园，中铁品牌小高层,中铁交通天地明珠 龙岗,4室2厅,142.76平米,"10,157元/平",145万,南毛坯中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105105308226.html
小区环境优美有儿童游乐区、健身设施、实施封闭式管理,世茂茂御府 龙岗,3室1厅,88.54平米,"9,940元/平",88万,南精装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114242575.html
五象东国企物业大4房，一梯两户，户型方正采光通风好,中铁交通天地明珠 龙岗,4室2厅,144.5平米,"10,727元/平",155万,南毛坯中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105107528273.html
龙岗精装3房，诚意出售，南北对流，视野开阔,世茂茂御府 龙岗,3室2厅,89平米,"10,675元/平",95万,南简装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111247696.html
万达茂商圈十中铁物业十毛坯现房,中铁交通天地明珠 龙岗,3室2厅,93.1平米,"9,990元/平",93万,东南毛坯中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105109085907.html
江湾前排看江大平层业主诚心出售,中铁江湾山语城 龙岗,4室2厅,150平米,"16,674元/平",250.1万,南 北毛坯6层 ,https://nn.lianjia.com/ershoufang/105111962362.html
小高层，低密度 ，江景房舒适度高，,中铁交通天地明珠 龙岗,4室1厅,144平米,"10,556元/平",152万,东南其他中楼层(共12层) ,https://nn.lianjia.com/ershoufang/105109509583.html
茂御府精装三房，近三小，近江边公园，,世茂茂御府 龙岗,3室2厅,89平米,"10,675元/平",95万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113737285.html
中铁交通天地明珠 4室2厅 南 北,中铁交通天地明珠 龙岗,4室2厅,142平米,"11,268元/平",160万,南 北毛坯低楼层(共10层) ,https://nn.lianjia.com/ershoufang/105113082439.html
龙岗江景房，小区中 心位置，五房设计南北通透。,中铁江湾山语城 龙岗,6室3厅,159.02平米,"12,200元/平",194万,南 北毛坯低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105106559362.html
已得证，精装大三房，全新未入住，价格可谈,恒大悦龙台 龙岗,3室2厅,100平米,"10,000元/平",100万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115751511.html
业主诚心卖房，南北对流，前后阳台，户型好,龙域香醍半岛 龙岗,4室2厅,128.77平米,"7,766元/平",100万,南 北精装中楼层(共9层) ,https://nn.lianjia.com/ershoufang/105112050090.html
龙域香醍半岛 3室2厅 南,龙域香醍半岛 龙岗,3室2厅,89平米,"8,989元/平",80万,南毛坯中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105110343935.html
房子红本在手，业主比较急卖，价格可以小谈，,龙域香醍半岛 龙岗,4室2厅,60.83平米,"12,988元/平",79万,南 北精装高楼层(共9层) ,https://nn.lianjia.com/ershoufang/105113527831.html
万达茂商圈滨江公园旁天地明珠4房诚心出售,中铁交通天地明珠 龙岗,4室2厅,144平米,"11,806元/平",170万,北 南其他中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105106411823.html
世茂茂御府 3室1厅 南 北,世茂茂御府 龙岗,3室1厅,80平米,"10,000元/平",80万,南 北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115470534.html
五象东万达旁中铁天地明珠 高层近江户型方正看房方便,中铁交通天地明珠 龙岗,3室2厅,95平米,"11,579元/平",110万,南毛坯中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105107610701.html
毛坯大四房两厅两卫，大阳台，视野开阔,深石汉华柏翠湾 龙岗,4室2厅,129.45平米,"10,661元/平",138万,南毛坯高楼层(共21层) ,https://nn.lianjia.com/ershoufang/105116280393.html
舒适四房 通风采光好 景观生活双阳台 业主诚意出售,万丰新新传说 龙岗,4室2厅,112.89平米,"8,239元/平",93万,东南毛坯中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105106652461.html
世茂茂御府 2室1厅 南 北,世茂茂御府 龙岗,2室1厅,80.4平米,"9,453元/平",76万,南 北精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115626498.html
中铁交通天地明珠 3室2厅 南 北,中铁交通天地明珠 龙岗,3室2厅,119.31平米,"10,058元/平",120万,南 北毛坯高楼层(共13层) ,https://nn.lianjia.com/ershoufang/105110308841.html
全新装修未入住，通风好，采光充足,世茂茂御府 龙岗,2室2厅,69平米,"11,160元/平",77万,东南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105106947579.html
五象新区十毛坯现房十红本在手业主急卖,中铁交通天地明珠 龙岗,3室2厅,93.1平米,"10,312元/平",96万,东南毛坯中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105109085894.html
楼层好 视野好 通风采光好 临江小区物业管好,中铁交通天地明珠 龙岗,5室2厅,189平米,"13,916元/平",263万,南精装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105106142752.html
业主自己装修 全新   大3房 下楼农贸市场,万丰新新传说 龙岗,3室2厅,97.81平米,"7,975元/平",78万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110728634.html
民中隔壁，舒适三房 通风采光好 景观生活双阳台,万丰新新传说 龙岗,3室2厅,90平米,"7,334元/平",66万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105106933897.html
楼层好，新楼盘，精装交付大平层,启迪亮 龙岗,4室2厅,168平米,"10,417元/平",175万,南 北精装中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115826144.html
小区绿化好，新楼盘出入方便可快速通达总部基人流分离,启迪亮 龙岗,3室2厅,89平米,"10,113元/平",90万,南精装中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115600935.html
万达茂 洋房 毛坯现房 有证 看房方便,中铁交通天地明珠 龙岗,3室2厅,120.36平米,"9,971元/平",120万,南 北毛坯中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105107251820.html
业主诚心出售，户型方正，通风采光好,万丰新新传说 龙岗,3室1厅,88.27平米,"7,364元/平",65万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110097924.html
红本在手，业主诚心出售，房子采光好,君华•锦云 龙岗,4室2厅,125平米,"7,200元/平",90万,东南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110509807.html
红本在手，业主诚心出售，房子采光好,君华•锦云 龙岗,4室2厅,125平米,"7,280元/平",91万,东南毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110510710.html
启迪亮 4室1厅 东南 南,启迪亮 龙岗,4室1厅,167.7平米,"10,138元/平",170万,东南 南其他低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113046609.html
此房满二无增值税，三室两厅 大阳台 高楼层,君华•锦云 龙岗,4室1厅,108平米,"7,408元/平",80万,南毛坯中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113952924.html
出租中价格适合，家具一起卖，看房满意价格可谈,君华•锦云 龙岗,3室1厅,108平米,"8,797元/平",95万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113921847.html
五象东滨江品质居住大盘毛坯两房好楼层,大唐盛世 龙岗,2室2厅,76.38平米,"8,118元/平",62万,南 北毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105111327795.html
洋房，带露台，带阁楼，户型方正，产权清晰，看房方便,大唐盛世 龙岗,4室2厅,128平米,"9,844元/平",126万,南毛坯高楼层(共7层) ,https://nn.lianjia.com/ershoufang/105109362200.html
优质房源，户型正，家具齐全，配套好,大唐盛世 龙岗,3室2厅,123平米,"8,537元/平",105万,南 北其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105108662752.html
大唐盛世业主诚心出售有露台可以种花采光十足户型方正,大唐盛世 龙岗,4室2厅,117.44平米,"8,515元/平",100万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110046434.html
二区5房毛坯，底楼层，价格可谈,大唐盛世 龙岗,5室2厅,140平米,"8,572元/平",120万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113886196.html
万达茂御江国际，精装4房，高层江景视野，诚意出售,万达茂·御江国际 五象文旅,4室2厅,139.2平米,"8,607元/平",119.8万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114826834.html
合景天峻精装4房2厅2卫，精装修，仅售83,合景·天峻广场 龙岗,4室2厅,102平米,"8,138元/平",83万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116386537.html
合景江边精装3房2厅2卫，高楼层视野好，小区环境好,合景·天峻广场 龙岗,3室2厅,89.03平米,"7,301元/平",65万,东南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105112299994.html
茂御府精装三房，全新未入住过，近三小，近江边公园，,世茂茂御府 龙岗,3室2厅,88平米,"7,955元/平",70万,南 北精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116137994.html
中铁江湾山语城 4室1厅 南,中铁江湾山语城 龙岗,4室1厅,94.5平米,"10,053元/平",95万,南简装中楼层(共43层) ,https://nn.lianjia.com/ershoufang/105117097960.html
世茂出售3房，户型好，采光好，业主诚心出售,世茂茂御府 龙岗,3室2厅,89平米,"7,529元/平",67万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110569892.html
民中旁 精装三房 业主急售 随时看房,万丰新新传说 龙岗,3室1厅,97平米,"5,856元/平",56.8万,东南精装中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105115770463.html
五象龙岗精装现房，满五唯一，看房方便，诚意可谈,阳光城丽景湾 龙岗,3室2厅,88.19平米,"8,505元/平",75万,南精装低楼层(共38层) ,https://nn.lianjia.com/ershoufang/105116760020.html
采光通风良好，视野开阔，客厅宽敞,花畔里 龙岗,3室2厅,86平米,"6,977元/平",60万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105117160023.html
毛坯4房，中间楼层，有钥匙方便看房，价格还可以谈,大唐世家三区 蒲庙,4室2厅,109.36平米,"5,944元/平",65万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113058015.html
民中好房诚心出售，朝南阳光充足，三房二厅二卫三阳台,中铁交通天地明珠 龙岗,3室2厅,89平米,"8,090元/平",72万,南 北精装中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105116200822.html
万达茂旁 龙光品质精装4房 未入住过 高层视野,龙光玖珑臺 龙岗,4室2厅,116平米,"7,587元/平",88万,南 北精装高楼层(共27层) ,https://nn.lianjia.com/ershoufang/105116904971.html
户型方正 带装修 配套齐全 看房方便,阳光城丽景湾 龙岗,3室1厅,88平米,"8,523元/平",75万,南精装中楼层(共38层) ,https://nn.lianjia.com/ershoufang/105113970933.html
全新精装修未入住，户型方正，看小区园林安静,合景·天峻广场 龙岗,4室2厅,107平米,"7,758元/平",83万,南 北精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117306156.html
视野开阔，，户型方正 小区环境优美,阳光城丽景湾 龙岗,3室2厅,89平米,"8,090元/平",72万,南其他低楼层(共38层) ,https://nn.lianjia.com/ershoufang/105115829035.html
精装三房没怎么住，买菜方便读书便利，江边风景秀丽,君华•锦云 龙岗,3室1厅,87.62平米,"7,761元/平",68万,东南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116994010.html
五象新区装修四房中高楼层带有产权车位业主诚心出售,合景·天峻广场 龙岗,4室2厅,104平米,"8,462元/平",88万,东南精装中楼层(共39层) ,https://nn.lianjia.com/ershoufang/105116848505.html
五象地铁4号线，大唐世家一区两房，户型好,大唐世家一区 蒲庙,2室1厅,61平米,"6,886元/平",42万,东南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116962186.html
看江4房，没有遮挡，没住过，满五，无抵押，有钥匙,阳光城丽景湾 龙岗,4室2厅,128.92平米,"8,998元/平",116万,北精装中楼层(共40层) ,https://nn.lianjia.com/ershoufang/105116732424.html
五象东 大-唐-盛-世88平精装3房  通风采光好,大唐盛世 龙岗,4室1厅,88平米,"7,387元/平",65万,南精装中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116807706.html
滨江公园旁小高层装修三房业主全款了方便交易,合景·天峻广场 龙岗,3室2厅,89平米,"8,427元/平",75万,东南精装中楼层(共15层) ,https://nn.lianjia.com/ershoufang/105117080586.html
全新精装未入住，中高楼层，通风采光好，业主急售,万科金域滨江 龙岗,4室2厅,118平米,"8,645元/平",102万,南其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115828982.html
精装修，高楼层，有钥匙方便看房，阳台无遮挡,大唐盛世 龙岗,4室2厅,96平米,"7,500元/平",72万,东北精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113230963.html
万达茂御江国际 毛坯4房3阳台 小区景观 诚售,万达茂·御江国际 五象文旅,4室2厅,137.01平米,"7,664元/平",105万,南 北毛坯中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105116722565.html
万达茂龙光品质 全新精装3房未入住 高层，江景视野,龙光玖珑臺 龙岗,3室2厅,89.86平米,"7,790元/平",70万,南精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105116453486.html
五象东中铁精装大4房出售，基板上没有住过，配套齐全,中铁交通天地明珠 龙岗,4室2厅,126平米,"8,572元/平",108万,南精装中楼层(共22层) ,https://nn.lianjia.com/ershoufang/105108964795.html
精装交付带车位出售 。看房方便,新城悦隽风华 龙岗,4室2厅,113.84平米,"7,818元/平",89万,南 北精装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105116284220.html
欧式建筑风格新楼盘全新未入住过，无欠款，满二万达茂,恒大悦龙台 龙岗,3室2厅,92.94平米,"7,317元/平",68万,东南 北精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105114776388.html
龙岗新区，大唐盛世二期精装3房，53万,大唐盛世 龙岗,3室1厅,72平米,"7,362元/平",53万,南其他低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117032038.html
房子产权清晰，精装修，户型方正，小区环境好,新城悦隽风华 龙岗,3室2厅,99平米,"7,273元/平",72万,东南其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105117167773.html
万科精装，全新未入住过的一线江景好房,万科金域滨江 龙岗,4室2厅,119.38平米,"12,147元/平",145万,南 北精装中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105112229941.html
万科临江精装未入住过三房 带车位 随时可看房 有证,万科金域滨江 龙岗,3室1厅,95平米,"10,527元/平",100万,南 北精装中楼层(共25层) ,https://nn.lianjia.com/ershoufang/105111784278.html
万科物业+万达茂旁+邕江边+带装修+3房2卫拎包入住,万科金域滨江 龙岗,3室2厅,95平米,"10,843元/平",103万,南其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105110942033.html
全新未入住，大客厅，业主诚心出售，价格可谈,万科金域滨江 龙岗,4室2厅,121平米,"11,158元/平",135万,南其他低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105114008379.html
楼下有菜市、民中、四房两厅两卫，精装出售,万丰新新传说 龙岗,4室2厅,112.76平米,"7,982元/平",90万,北精装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113950528.html
万科临江洋房，房子重新装修未入住过，有证 随时看房,万科金域滨江 龙岗,4室2厅,140平米,"13,572元/平",190万,南 北精装高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105111784292.html
五象万达茂商圈 精装现房 万科物业 诚意可谈,万科金域滨江 龙岗,3室2厅,95平米,"11,579元/平",110万,南精装中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105111170730.html
自住保养很好  万科物业  有证 精装3房,万科金域滨江 龙岗,3室2厅,95平米,"11,053元/平",105万,南 北精装高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105114926797.html
万达茂旁  宜居小区   楼下滨江公园,中铁交通天地明珠 龙岗,3室2厅,90平米,"11,334元/平",102万,南 北精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105111525765.html
五象东百亩大盘无欠款3房2卫生活便利,大唐盛世 龙岗,3室1厅,76平米,"7,632元/平",58万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114855004.html
二区毛坯3房，看房满意价格还满意谈,君华•锦云 龙岗,3室1厅,108平米,"7,038元/平",76万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113921104.html
五象新区。龙岗片区，大唐盛世117平4房，95万,大唐盛世 龙岗,4室2厅,117平米,"8,120元/平",95万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115391029.html
品质小区，灵龟山风景区，天然氧吧,彰泰江景湾 龙岗,4室2厅,108平米,"10,649元/平",115万,南其他低楼层(共17层) ,https://nn.lianjia.com/ershoufang/105115765986.html
满二，无增值税，精装全新装修，两梯三户居住舒适,恒大悦龙台 龙岗,3室2厅,124平米,"9,033元/平",112万,东南精装低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105115068296.html
大唐盛世 4室2厅 南 北,大唐盛世 龙岗,4室2厅,128.21平米,"9,360元/平",120万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112129129.html
精装3房 带家具一起，中间楼层，价格还可以谈,大唐果(邕宁区) 龙岗,3室2厅,91.74平米,"9,266元/平",85万,北精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110062331.html
世茂金科博翠江山 3室2厅 南 北,世茂金科博翠江山 龙岗,3室2厅,97平米,"10,825元/平",105万,南 北简装高楼层(共24层) ,https://nn.lianjia.com/ershoufang/105116310792.html
全新精装未入住  价格可谈 近万达茂 近江边 采光好,恒大悦龙台 龙岗,4室1厅,141平米,"11,206元/平",158万,南 北其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105116400809.html
五象龙岗人文气息浓厚满五唯一红本在手好房,大唐果(邕宁区) 龙岗,3室2厅,89平米,"8,989元/平",80万,南精装高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105110211387.html
